Date,Index,Index number
1990-01-01,S&P 500 Index,352.200012
1990-01-08,S&P 500 Index,339.929993
1990-01-15,S&P 500 Index,339.149994
1990-01-22,S&P 500 Index,325.799988
1990-01-29,S&P 500 Index,330.920013
1990-02-05,S&P 500 Index,333.619995
1990-02-12,S&P 500 Index,332.720001
1990-02-19,S&P 500 Index,324.149994
1990-02-26,S&P 500 Index,335.540009
1990-03-05,S&P 500 Index,337.929993
1990-03-12,S&P 500 Index,341.910004
1990-03-19,S&P 500 Index,337.220001
1990-03-26,S&P 500 Index,339.940002
1990-04-02,S&P 500 Index,340.079987
1990-04-09,S&P 500 Index,344.339996
1990-04-16,S&P 500 Index,335.119995
1990-04-23,S&P 500 Index,329.109985
1990-04-30,S&P 500 Index,338.390015
1990-05-07,S&P 500 Index,352
1990-05-14,S&P 500 Index,354.640015
1990-05-21,S&P 500 Index,354.579987
1990-05-28,S&P 500 Index,363.160004
1990-06-04,S&P 500 Index,358.709991
1990-06-11,S&P 500 Index,362.910004
1990-06-18,S&P 500 Index,355.429993
1990-06-25,S&P 500 Index,358.019989
1990-07-02,S&P 500 Index,358.420013
1990-07-09,S&P 500 Index,367.309998
1990-07-16,S&P 500 Index,361.609985
1990-07-23,S&P 500 Index,353.440002
1990-07-30,S&P 500 Index,344.859985
1990-08-06,S&P 500 Index,335.519989
1990-08-13,S&P 500 Index,327.829987
1990-08-20,S&P 500 Index,311.51001
1990-08-27,S&P 500 Index,322.559998
1990-09-03,S&P 500 Index,323.399994
1990-09-10,S&P 500 Index,316.829987
1990-09-17,S&P 500 Index,311.320007
1990-09-24,S&P 500 Index,306.049988
1990-10-01,S&P 500 Index,311.5
1990-10-08,S&P 500 Index,300.029999
1990-10-15,S&P 500 Index,312.480011
1990-10-22,S&P 500 Index,304.709991
1990-10-29,S&P 500 Index,311.850006
1990-11-05,S&P 500 Index,313.73999
1990-11-12,S&P 500 Index,317.119995
1990-11-19,S&P 500 Index,315.100006
1990-11-26,S&P 500 Index,322.220001
1990-12-03,S&P 500 Index,327.75
1990-12-10,S&P 500 Index,326.820007
1990-12-17,S&P 500 Index,331.75
1990-12-24,S&P 500 Index,328.720001
1990-12-31,S&P 500 Index,321
1991-01-07,S&P 500 Index,315.230011
1991-01-14,S&P 500 Index,332.230011
1991-01-21,S&P 500 Index,336.070007
1991-01-28,S&P 500 Index,343.049988
1991-02-04,S&P 500 Index,359.350006
1991-02-11,S&P 500 Index,369.059998
1991-02-18,S&P 500 Index,365.649994
1991-02-25,S&P 500 Index,370.470001
1991-03-04,S&P 500 Index,374.950012
1991-03-11,S&P 500 Index,373.589996
1991-03-18,S&P 500 Index,367.480011
1991-03-25,S&P 500 Index,375.220001
1991-04-01,S&P 500 Index,375.359985
1991-04-08,S&P 500 Index,380.399994
1991-04-15,S&P 500 Index,384.200012
1991-04-22,S&P 500 Index,379.019989
1991-04-29,S&P 500 Index,380.799988
1991-05-06,S&P 500 Index,375.73999
1991-05-13,S&P 500 Index,372.390015
1991-05-20,S&P 500 Index,377.48999
1991-05-27,S&P 500 Index,389.829987
1991-06-03,S&P 500 Index,379.429993
1991-06-10,S&P 500 Index,382.290009
1991-06-17,S&P 500 Index,377.75
1991-06-24,S&P 500 Index,371.160004
1991-07-01,S&P 500 Index,374.079987
1991-07-08,S&P 500 Index,380.25
1991-07-15,S&P 500 Index,384.220001
1991-07-22,S&P 500 Index,380.929993
1991-07-29,S&P 500 Index,387.179993
1991-08-05,S&P 500 Index,387.119995
1991-08-12,S&P 500 Index,385.579987
1991-08-19,S&P 500 Index,394.170013
1991-08-26,S&P 500 Index,395.429993
1991-09-02,S&P 500 Index,389.100006
1991-09-09,S&P 500 Index,383.589996
1991-09-16,S&P 500 Index,387.920013
1991-09-23,S&P 500 Index,385.899994
1991-09-30,S&P 500 Index,381.25
1991-10-07,S&P 500 Index,381.450012
1991-10-14,S&P 500 Index,392.5
1991-10-21,S&P 500 Index,384.200012
1991-10-28,S&P 500 Index,391.320007
1991-11-04,S&P 500 Index,392.890015
1991-11-11,S&P 500 Index,382.619995
1991-11-18,S&P 500 Index,376.140015
1991-11-25,S&P 500 Index,375.220001
1991-12-02,S&P 500 Index,379.100006
1991-12-09,S&P 500 Index,384.470001
1991-12-16,S&P 500 Index,387.040009
1991-12-23,S&P 500 Index,406.459991
1991-12-30,S&P 500 Index,419.339996
1992-01-06,S&P 500 Index,415.100006
1992-01-13,S&P 500 Index,418.859985
1992-01-20,S&P 500 Index,415.480011
1992-01-27,S&P 500 Index,408.779999
1992-02-03,S&P 500 Index,411.089996
1992-02-10,S&P 500 Index,412.480011
1992-02-17,S&P 500 Index,411.429993
1992-02-24,S&P 500 Index,412.700012
1992-03-02,S&P 500 Index,404.440002
1992-03-09,S&P 500 Index,405.839996
1992-03-16,S&P 500 Index,411.299988
1992-03-23,S&P 500 Index,403.5
1992-03-30,S&P 500 Index,401.549988
1992-04-06,S&P 500 Index,404.290009
1992-04-13,S&P 500 Index,416.040009
1992-04-20,S&P 500 Index,409.019989
1992-04-27,S&P 500 Index,412.529999
1992-05-04,S&P 500 Index,416.049988
1992-05-11,S&P 500 Index,410.089996
1992-05-18,S&P 500 Index,414.019989
1992-05-25,S&P 500 Index,415.350006
1992-06-01,S&P 500 Index,413.480011
1992-06-08,S&P 500 Index,409.76001
1992-06-15,S&P 500 Index,403.670013
1992-06-22,S&P 500 Index,403.450012
1992-06-29,S&P 500 Index,411.769989
1992-07-06,S&P 500 Index,414.619995
1992-07-13,S&P 500 Index,415.619995
1992-07-20,S&P 500 Index,411.600006
1992-07-27,S&P 500 Index,424.209991
1992-08-03,S&P 500 Index,418.880005
1992-08-10,S&P 500 Index,419.910004
1992-08-17,S&P 500 Index,414.850006
1992-08-24,S&P 500 Index,414.839996
1992-08-31,S&P 500 Index,417.079987
1992-09-07,S&P 500 Index,419.579987
1992-09-14,S&P 500 Index,422.929993
1992-09-21,S&P 500 Index,414.350006
1992-09-28,S&P 500 Index,410.470001
1992-10-05,S&P 500 Index,402.660004
1992-10-12,S&P 500 Index,411.730011
1992-10-19,S&P 500 Index,414.100006
1992-10-26,S&P 500 Index,418.679993
1992-11-02,S&P 500 Index,417.579987
1992-11-09,S&P 500 Index,422.429993
1992-11-16,S&P 500 Index,426.649994
1992-11-23,S&P 500 Index,430.160004
1992-11-30,S&P 500 Index,432.059998
1992-12-07,S&P 500 Index,433.730011
1992-12-14,S&P 500 Index,441.279999
1992-12-21,S&P 500 Index,439.769989
1992-12-28,S&P 500 Index,435.709991
1993-01-04,S&P 500 Index,429.049988
1993-01-11,S&P 500 Index,437.149994
1993-01-18,S&P 500 Index,436.109985
1993-01-25,S&P 500 Index,438.779999
1993-02-01,S&P 500 Index,448.929993
1993-02-08,S&P 500 Index,444.579987
1993-02-15,S&P 500 Index,434.220001
1993-02-22,S&P 500 Index,443.380005
1993-03-01,S&P 500 Index,446.109985
1993-03-08,S&P 500 Index,449.829987
1993-03-15,S&P 500 Index,450.179993
1993-03-22,S&P 500 Index,447.779999
1993-03-29,S&P 500 Index,441.390015
1993-04-05,S&P 500 Index,441.839996
1993-04-12,S&P 500 Index,448.940002
1993-04-19,S&P 500 Index,437.029999
1993-04-26,S&P 500 Index,440.190002
1993-05-03,S&P 500 Index,442.309998
1993-05-10,S&P 500 Index,439.559998
1993-05-17,S&P 500 Index,445.839996
1993-05-24,S&P 500 Index,450.190002
1993-05-31,S&P 500 Index,450.059998
1993-06-07,S&P 500 Index,447.26001
1993-06-14,S&P 500 Index,443.679993
1993-06-21,S&P 500 Index,447.600006
1993-06-28,S&P 500 Index,445.839996
1993-07-05,S&P 500 Index,448.109985
1993-07-12,S&P 500 Index,445.75
1993-07-19,S&P 500 Index,447.100006
1993-07-26,S&P 500 Index,448.130005
1993-08-02,S&P 500 Index,448.679993
1993-08-09,S&P 500 Index,450.140015
1993-08-16,S&P 500 Index,456.160004
1993-08-23,S&P 500 Index,460.540009
1993-08-30,S&P 500 Index,461.339996
1993-09-06,S&P 500 Index,461.720001
1993-09-13,S&P 500 Index,458.829987
1993-09-20,S&P 500 Index,457.630005
1993-09-27,S&P 500 Index,461.279999
1993-10-04,S&P 500 Index,460.309998
1993-10-11,S&P 500 Index,469.5
1993-10-18,S&P 500 Index,463.269989
1993-10-25,S&P 500 Index,467.829987
1993-11-01,S&P 500 Index,459.570007
1993-11-08,S&P 500 Index,465.390015
1993-11-15,S&P 500 Index,462.600006
1993-11-22,S&P 500 Index,463.059998
1993-11-29,S&P 500 Index,464.890015
1993-12-06,S&P 500 Index,463.929993
1993-12-13,S&P 500 Index,466.380005
1993-12-20,S&P 500 Index,467.380005
1993-12-27,S&P 500 Index,466.450012
1994-01-01,S&P 500 Index,469.899994
1994-01-08,S&P 500 Index,474.910004
1994-01-15,S&P 500 Index,474.720001
1994-01-22,S&P 500 Index,478.700012
1994-01-29,S&P 500 Index,469.809998
1994-02-05,S&P 500 Index,470.179993
1994-02-12,S&P 500 Index,467.690002
1994-02-19,S&P 500 Index,466.070007
1994-02-26,S&P 500 Index,464.73999
1994-03-05,S&P 500 Index,466.440002
1994-03-12,S&P 500 Index,471.059998
1994-03-19,S&P 500 Index,460.579987
1994-03-26,S&P 500 Index,445.769989
1994-04-02,S&P 500 Index,447.100006
1994-04-09,S&P 500 Index,446.179993
1994-04-16,S&P 500 Index,447.630005
1994-04-23,S&P 500 Index,450.910004
1994-04-30,S&P 500 Index,447.820007
1994-05-07,S&P 500 Index,444.140015
1994-05-14,S&P 500 Index,454.920013
1994-05-21,S&P 500 Index,457.329987
1994-05-28,S&P 500 Index,460.130005
1994-06-04,S&P 500 Index,458.670013
1994-06-11,S&P 500 Index,458.450012
1994-06-18,S&P 500 Index,442.799988
1994-06-25,S&P 500 Index,446.200012
1994-07-02,S&P 500 Index,449.549988
1994-07-09,S&P 500 Index,454.160004
1994-07-16,S&P 500 Index,453.109985
1994-07-23,S&P 500 Index,458.26001
1994-07-30,S&P 500 Index,457.089996
1994-08-06,S&P 500 Index,461.940002
1994-08-13,S&P 500 Index,463.679993
1994-08-20,S&P 500 Index,473.799988
1994-08-27,S&P 500 Index,470.98999
1994-09-03,S&P 500 Index,468.179993
1994-09-10,S&P 500 Index,471.190002
1994-09-17,S&P 500 Index,459.670013
1994-09-24,S&P 500 Index,462.709991
1994-10-01,S&P 500 Index,455.100006
1994-10-08,S&P 500 Index,469.100006
1994-10-15,S&P 500 Index,464.890015
1994-10-22,S&P 500 Index,473.769989
1994-10-29,S&P 500 Index,462.279999
1994-11-05,S&P 500 Index,462.350006
1994-11-12,S&P 500 Index,461.470001
1994-11-19,S&P 500 Index,452.290009
1994-11-26,S&P 500 Index,453.299988
1994-12-03,S&P 500 Index,446.959991
1994-12-10,S&P 500 Index,458.799988
1994-12-17,S&P 500 Index,459.829987
1994-12-24,S&P 500 Index,459.269989
1994-12-31,S&P 500 Index,460.679993
1995-01-07,S&P 500 Index,465.970001
1995-01-14,S&P 500 Index,464.779999
1995-01-21,S&P 500 Index,470.390015
1995-01-28,S&P 500 Index,478.649994
1995-02-04,S&P 500 Index,481.459991
1995-02-11,S&P 500 Index,481.970001
1995-02-18,S&P 500 Index,488.109985
1995-02-25,S&P 500 Index,485.420013
1995-03-04,S&P 500 Index,489.570007
1995-03-11,S&P 500 Index,495.519989
1995-03-18,S&P 500 Index,500.970001
1995-03-25,S&P 500 Index,500.709991
1995-04-01,S&P 500 Index,506.420013
1995-04-08,S&P 500 Index,509.230011
1995-04-15,S&P 500 Index,508.48999
1995-04-22,S&P 500 Index,514.710022
1995-04-29,S&P 500 Index,520.119995
1995-05-06,S&P 500 Index,525.549988
1995-05-13,S&P 500 Index,519.190002
1995-05-20,S&P 500 Index,523.650024
1995-05-27,S&P 500 Index,532.51001
1995-06-03,S&P 500 Index,527.940002
1995-06-10,S&P 500 Index,539.830017
1995-06-17,S&P 500 Index,549.710022
1995-06-24,S&P 500 Index,544.75
1995-07-01,S&P 500 Index,556.369995
1995-07-08,S&P 500 Index,559.890015
1995-07-15,S&P 500 Index,553.619995
1995-07-22,S&P 500 Index,562.929993
1995-07-29,S&P 500 Index,558.940002
1995-08-05,S&P 500 Index,555.109985
1995-08-12,S&P 500 Index,559.210022
1995-08-19,S&P 500 Index,560.099976
1995-08-26,S&P 500 Index,563.840027
1995-09-02,S&P 500 Index,572.679993
1995-09-09,S&P 500 Index,583.349976
1995-09-16,S&P 500 Index,581.72998
1995-09-23,S&P 500 Index,584.409973
1995-09-30,S&P 500 Index,582.48999
1995-10-07,S&P 500 Index,584.5
