region,value1,value2
North East,-2.872719894,-0.6
North West,-0.767403681,-2
Yorkshire and Humbers,-0.207568997,-1.5
East Midlands,0.476397867,-2.9
West Midlands,0.885601025,-2.8
East of England,2.001148505,-1.1
London,4.841643833,-2.6
South East,0.066954257,-1.8
South West,1.981727199,-2.5
Wales,0.512392004,-0.4
Scotland,2.117597828,-1.6
Northern Ireland,3.300539784,-4.7
