Date,Search engine,Percentage
2009-01-01,Google,90.25
2009-02-01,Google,89.69
2009-03-01,Google,89.14
2009-04-01,Google,89.91
2009-05-01,Google,89.86
2009-06-01,Google,89.85
2009-07-01,Google,89.28
2009-08-01,Google,89.62
2009-09-01,Google,90.6
2009-10-01,Google,90.86
2009-11-01,Google,91.43
2009-12-01,Google,91.3
2010-01-01,Google,90.86
2010-02-01,Google,90.6
2010-03-01,Google,90.67
2010-04-01,Google,90.53
2010-05-01,Google,90.6
2010-06-01,Google,90.25
2010-07-01,Google,90.79
2010-08-01,Google,91.44
2010-09-01,Google,91.59
2010-10-01,Google,91.41
2010-11-01,Google,91.13
2010-12-01,Google,90.82
2011-01-01,Google,90.4
2011-02-01,Google,90.23
2011-03-01,Google,90.41
2011-04-01,Google,90.61
2011-05-01,Google,91.07
2011-06-01,Google,91.61
2011-07-01,Google,91.4
2011-08-01,Google,91.33
2011-09-01,Google,91.25
2011-10-01,Google,91.2
2011-11-01,Google,91.55
2011-12-01,Google,91.77
2012-01-01,Google,91.98
2012-02-01,Google,92.2
2012-03-01,Google,92.41
2012-04-01,Google,92.14
2012-05-01,Google,92.46
2012-06-01,Google,92.24
2012-07-01,Google,91.75
2012-08-01,Google,91.64
2012-09-01,Google,91.63
2012-10-01,Google,91.26
2012-11-01,Google,91.28
2012-12-01,Google,91.05
2013-01-01,Google,91
2013-02-01,Google,90.24
2013-03-01,Google,90.51
2013-04-01,Google,90.78
2013-05-01,Google,90.86
2013-06-01,Google,90.59
2013-07-01,Google,90.54
2013-08-01,Google,90.77
2013-09-01,Google,90.4
2013-10-01,Google,88.73
2013-11-01,Google,89.04
2013-12-01,Google,89.41
2014-01-01,Google,90.11
2014-02-01,Google,90.11
2014-03-01,Google,89.27
2014-04-01,Google,89.73
2014-05-01,Google,90.02
2014-06-01,Google,90.12
2014-07-01,Google,89.47
2014-08-01,Google,89.68
2014-09-01,Google,89.77
2014-10-01,Google,89.99
2014-11-01,Google,90.08
2014-12-01,Google,89.41
2015-01-01,Google,89.62
2015-02-01,Google,89.47
2015-03-01,Google,89.52
2015-04-01,Google,90.01
2015-05-01,Google,90.24
2015-06-01,Google,90.78
2015-07-01,Google,90.94
2015-08-01,Google,91.23
2015-09-01,Google,91.31
2015-10-01,Google,91.55
2015-11-01,Google,91.5
2015-12-01,Google,91.1
2016-01-01,Google,91.01
2016-02-01,Google,91.13
2016-03-01,Google,91.71
2016-04-01,Google,91.77
2016-05-01,Google,91.76
2016-06-01,Google,91.89
2016-07-01,Google,91.7
2016-08-01,Google,92.12
2016-09-01,Google,92.54
