Date,Country,Cumulative Ebola cases
2020-01-22,Liberia,322
2020-01-29,Liberia,614
2020-02-05,Liberia,654
2020-02-12,Liberia,812
2020-02-19,Liberia,914
2020-02-26,Liberia,931
2020-03-04,Liberia,943
2020-03-11,Liberia,null
2020-03-18,Liberia,965
2020-03-25,Liberia,965
2020-04-01,Liberia,2514
2020-04-08,Liberia,2562
2020-04-15,Liberia,2669
2020-04-22,Liberia,2727
2020-04-29,Liberia,2801
2020-05-06,Liberia,2801
2020-05-13,Liberia,2830
2020-05-20,Liberia,3085
2020-05-27,Liberia,3110
2020-06-03,Liberia,3123
2020-06-10,Liberia,3127
2020-06-17,Liberia,3136
2020-06-24,Liberia,3138
2020-07-01,Liberia,3143
2020-07-08,Liberia,3147
2020-07-15,Liberia,3152
2020-07-22,Liberia,3153
2020-07-29,Liberia,3150
2020-08-05,Liberia,3150
2020-08-12,Liberia,3150
2020-08-19,Liberia,3151
2020-08-26,Liberia,3151
2020-09-02,Liberia,3151
2020-09-09,Liberia,3151
2020-09-16,Liberia,3151
2020-09-23,Liberia,3151
2020-09-30,Liberia,3151
2020-10-07,Liberia,3151
2020-10-14,Liberia,3151
2020-10-21,Liberia,3151
2020-10-28,Liberia,3151
2020-11-04,Liberia,3151
2020-11-11,Liberia,3151
2020-11-18,Liberia,3151
2020-11-25,Liberia,3151
2020-12-02,Liberia,3151
2020-12-09,Liberia,3151
2020-12-16,Liberia,3151
2020-12-23,Liberia,3151
2020-12-30,Liberia,3151
2021-01-06,Liberia,3151
2021-01-13,Liberia,3151
2021-01-20,Liberia,3151
2021-01-27,Liberia,3151
2021-02-03,Liberia,3151
2021-02-10,Liberia,3151
2020-01-22,Sierra Leone,935
2020-01-29,Sierra Leone,1146
2020-02-05,Sierra Leone,1287
2020-02-12,Sierra Leone,1513
2020-02-19,Sierra Leone,1816
2020-02-26,Sierra Leone,2179
2020-03-04,Sierra Leone,2593
2020-03-11,Sierra Leone,2977
2020-03-18,Sierra Leone,3223
2020-03-25,Sierra Leone,3389
2020-04-01,Sierra Leone,4149
2020-04-08,Sierra Leone,4683
2020-04-15,Sierra Leone,5152
2020-04-22,Sierra Leone,5441
2020-04-29,Sierra Leone,5831
2020-05-06,Sierra Leone,5978
2020-05-13,Sierra Leone,6375
2020-05-20,Sierra Leone,7160
2020-05-27,Sierra Leone,7476
2020-06-03,Sierra Leone,7759
2020-06-10,Sierra Leone,7825
2020-06-17,Sierra Leone,7921
2020-06-24,Sierra Leone,7989
2020-07-01,Sierra Leone,8084
2020-07-08,Sierra Leone,8155
2020-07-15,Sierra Leone,8223
2020-07-22,Sierra Leone,8320
2020-07-29,Sierra Leone,8389
2020-08-05,Sierra Leone,8469
2020-08-12,Sierra Leone,8508
2020-08-19,Sierra Leone,8532
2020-08-26,Sierra Leone,8555
2020-09-02,Sierra Leone,8558
2020-09-09,Sierra Leone,8569
2020-09-16,Sierra Leone,8584
2020-09-23,Sierra Leone,8590
2020-09-30,Sierra Leone,8597
2020-10-07,Sierra Leone,8598
2020-10-14,Sierra Leone,8608
2020-10-21,Sierra Leone,8614
2020-10-28,Sierra Leone,8624
2020-11-04,Sierra Leone,8647
2020-11-11,Sierra Leone,8654
2020-11-18,Sierra Leone,8662
2020-11-25,Sierra Leone,8671
2020-12-02,Sierra Leone,8676
2020-12-09,Sierra Leone,8688
2020-12-16,Sierra Leone,8693
2020-12-23,Sierra Leone,8694
2020-12-30,Sierra Leone,8696
2021-01-06,Sierra Leone,8697
2021-01-13,Sierra Leone,8697
2021-01-20,Sierra Leone,8697
2021-01-27,Sierra Leone,8698
2021-02-03,Sierra Leone,8703
2021-02-10,Sierra Leone,8704
2020-01-22,Guinea,482
2020-01-29,Guinea,604
2020-02-05,Guinea,678
2020-02-12,Guinea,750
2020-02-19,Guinea,876
2020-02-26,Guinea,977
2020-03-04,Guinea,1097
2020-03-11,Guinea,1217
2020-03-18,Guinea,1289
2020-03-25,Guinea,1312
2020-04-01,Guinea,1479
2020-04-08,Guinea,1647
2020-04-15,Guinea,1745
2020-04-22,Guinea,1850
2020-04-29,Guinea,1921
2020-05-06,Guinea,1929
2020-05-13,Guinea,2051
2020-05-20,Guinea,2342
2020-05-27,Guinea,2435
2020-06-03,Guinea,2493
2020-06-10,Guinea,2525
2020-06-17,Guinea,2545
2020-06-24,Guinea,2575
2020-07-01,Guinea,2628
2020-07-08,Guinea,2693
2020-07-15,Guinea,2734
2020-07-22,Guinea,2790
2020-07-29,Guinea,2840
2020-08-05,Guinea,2911
2020-08-12,Guinea,2988
2020-08-19,Guinea,3042
2020-08-26,Guinea,3089
2020-09-02,Guinea,3093
2020-09-09,Guinea,3126
2020-09-16,Guinea,3145
2020-09-23,Guinea,3161
2020-09-30,Guinea,3170
2020-10-07,Guinea,3189
2020-10-14,Guinea,3205
2020-10-21,Guinea,3216
2020-10-28,Guinea,3228
2020-11-04,Guinea,3243
2020-11-11,Guinea,3247
2020-11-18,Guinea,3266
2020-11-25,Guinea,3279
2020-12-02,Guinea,3293
2020-12-09,Guinea,3310
2020-12-16,Guinea,3325
2020-12-23,Guinea,3326
2020-12-30,Guinea,3329
2021-01-06,Guinea,3330
2021-01-13,Guinea,3334
2021-01-20,Guinea,3336
2021-01-27,Guinea,3338
2021-02-03,Guinea,3338
2021-02-10,Guinea,3339
