metric,region,value
Imports,North East,-8.3
Exports,North East,-8.3
Imports,Yorkshire and The Humber,-20.7
Exports,Yorkshire and The Humber,-21.5
Imports,East Midlands,-10.7
Exports,East Midlands,-11.1
Imports,South West,-13.0
Exports,South West,-18.4
Imports,West Midlands,-19.4
Exports,West Midlands,-24.7
Imports,East of England,-11.6
Exports,East of England,-3.5
Imports,North West,-8.7
Exports,North West,-8.3
Imports,South East,-13.9
Exports,South East,-20.3
Imports,London,-26.9
Exports,London,-25.7
Imports,Nothern Ireland,-10.9
Exports,Nothern Ireland,-12.4
Imports,Wales,-24.7
Exports,Wales,-21.3
Imports,Scotland,-18.8
Exports,Scotland,-22.7
Imports,Unknown,19.5
Exports,Unknown,-10.9
