date,value1,value2,value3
2019-06-21,0.44,10144.56,294.91
2019-06-22,0.47,10701.69,309.38
2019-06-23,0.47,10855.37,307.83
2019-06-24,0.47,11011.10,310.42
2019-06-25,0.47,11790.92,318.13
2019-06-26,0.47,13016.23,336.75
2019-06-27,0.41,11182.81,294.27
2019-06-28,0.43,12407.33,311.23
2019-06-29,0.43,11959.37,320.06
2019-06-30,0.40,10817.16,290.70
2019-07-01,0.41,10583.13,293.64
2019-07-02,0.40,10801.68,291.60
2019-07-03,0.41,11961.27,303.10
2019-07-04,0.39,11215.44,284.52
2019-07-05,0.38,10978.46,288.00
2019-07-06,0.39,11208.55,287.55
2019-07-07,0.40,11450.85,305.70
2019-07-08,0.40,12285.96,313.25
2019-07-09,0.39,12573.81,308.88
2019-07-10,0.36,12156.51,290.00
2019-07-11,0.33,11358.66,268.70
2019-07-12,0.34,11815.99,276.28
2019-07-13,0.33,11392.38,269.46
2019-07-14,0.31,10256.06,227.58
2019-07-15,0.32,10895.09,229.78
2019-07-16,0.30,9477.64,199.19
2019-07-17,0.31,9693.80,211.49
2019-07-18,0.32,10666.48,226.57
2019-07-19,0.32,10530.73,221.33
2019-07-20,0.33,10767.14,229.12
2019-07-21,0.33,10599.11,225.63
2019-07-22,0.32,10343.11,217.56
2019-07-23,0.31,9900.77,212.73
2019-07-24,0.32,9811.93,217.05
2019-07-25,0.31,9911.84,219.62
2019-07-26,0.32,9870.30,219.63
2019-07-27,0.31,9477.68,207.41
2019-07-28,0.31,9552.86,211.19
2019-07-29,0.31,9519.15,211.27
2019-07-30,0.32,9607.42,210.52
2019-07-31,0.32,10085.63,218.65
2019-08-01,0.32,10399.67,217.81
2019-08-02,0.31,10518.17,217.87
2019-08-03,0.32,10821.73,222.49
2019-08-04,0.32,10970.18,222.67
2019-08-05,0.32,11805.65,234.22
2019-08-06,0.31,11478.17,226.02
2019-08-07,0.31,11941.97,226.39
2019-08-08,0.31,11966.41,220.94
2019-08-09,0.30,11862.94,210.49
2019-08-10,0.30,11354.02,206.73
2019-08-11,0.30,11523.58,216.09
2019-08-12,0.30,11382.62,211.29
2019-08-13,0.30,10895.83,208.71
2019-08-14,0.26,10051.70,186.61
2019-08-15,0.26,10311.55,188.50
2019-08-16,0.26,10374.34,185.44
2019-08-17,0.27,10231.74,185.69
2019-08-18,0.28,10345.81,194.49
2019-08-19,0.28,10916.05,203.09
2019-08-20,0.28,10763.23,196.57
2019-08-21,0.27,10138.05,186.89
2019-08-22,0.27,10131.06,191.33
2019-08-23,0.28,10407.96,194.71
2019-08-24,0.27,10159.96,191.29
2019-08-25,0.27,10138.52,186.84
2019-08-26,0.27,10370.82,188.93
2019-08-27,0.27,10185.50,187.52
2019-08-28,0.26,9754.42,173.89
2019-08-29,0.26,9510.20,169.52
2019-08-30,0.26,9598.17,168.83
2019-08-31,0.26,9630.66,172.47
2019-09-01,0.26,9757.97,171.63
2019-09-02,0.26,10346.76,178.35
2019-09-03,0.26,10623.54,179.50
2019-09-04,0.26,10594.49,175.99
2019-09-05,0.26,10575.53,174.22
2019-09-06,0.25,10353.30,169.96
2019-09-07,0.26,10517.25,178.26
2019-09-08,0.26,10441.28,181.36
2019-09-09,0.26,10334.97,181.15
2019-09-10,0.26,10115.98,179.79
2019-09-11,0.26,10178.37,178.73
2019-09-12,0.25,10410.13,181.02
2019-09-13,0.26,10360.55,181.11
2019-09-14,0.26,10358.05,188.11
2019-09-15,0.26,10347.71,189.79
2019-09-16,0.26,10276.79,197.11
2019-09-17,0.29,10241.27,208.61
2019-09-18,0.31,10198.25,211.39
2019-09-19,0.30,10266.42,221.28
2019-09-20,0.29,10181.64,218.05
2019-09-21,0.29,10019.72,215.52
2019-09-22,0.28,10070.39,211.55
2019-09-23,0.27,9729.32,201.92
2019-09-24,0.24,8620.57,168.11
2019-09-25,0.25,8486.99,170.89
2019-09-26,0.24,8118.97,166.73
2019-09-27,0.24,8251.85,174.71
2019-09-28,0.24,8245.92,174.57
2019-09-29,0.24,8104.19,170.50
2019-09-30,0.26,8293.87,179.87
2019-10-01,0.25,8343.28,177.34
2019-10-02,0.25,8393.04,180.71
2019-10-03,0.25,8259.99,175.20
2019-10-04,0.25,8205.94,176.99
2019-10-05,0.25,8151.50,176.35
2019-10-06,0.26,7988.16,173.06
2019-10-07,0.28,8245.62,181.19
2019-10-08,0.28,8228.78,182.02
2019-10-09,0.28,8595.74,193.29
2019-10-10,0.27,8586.47,191.66
2019-10-11,0.27,8321.76,182.57
2019-10-12,0.27,8336.56,180.83
2019-10-13,0.28,8321.01,182.08
2019-10-14,0.30,8374.69,186.96
2019-10-15,0.29,8205.37,181.41
2019-10-16,0.28,8047.53,176.01
2019-10-17,0.30,8103.91,178.03
2019-10-18,0.30,7973.21,173.62
2019-10-19,0.29,7988.56,172.91
2019-10-20,0.29,8222.08,175.53
2019-10-21,0.29,8243.72,174.92
2019-10-22,0.29,8078.20,172.30
2019-10-23,0.27,7514.67,162.40
2019-10-24,0.28,7493.49,162.17
2019-10-25,0.30,8660.70,181.52
2019-10-26,0.29,9244.97,179.84
2019-10-27,0.30,9551.72,184.24
2019-10-28,0.30,9256.15,182.66
2019-10-29,0.30,9427.69,190.34
2019-10-30,0.30,9205.73,184.69
2019-10-31,0.30,9199.59,183.97
2019-11-01,0.29,9261.10,183.97
2019-11-02,0.30,9324.72,183.93
2019-11-03,0.29,9235.35,182.43
2019-11-04,0.30,9412.61,186.36
2019-11-05,0.30,9342.53,189.30
2019-11-06,0.31,9360.88,191.59
2019-11-07,0.29,9267.56,187.98
2019-11-08,0.28,8804.88,184.21
2019-11-09,0.28,8813.58,185.03
2019-11-10,0.28,9055.53,189.48
2019-11-11,0.28,8757.79,185.49
2019-11-12,0.27,8815.66,186.84
2019-11-13,0.27,8808.26,188.26
2019-11-14,0.27,8708.10,186.00
2019-11-15,0.26,8491.99,180.52
2019-11-16,0.26,8550.76,183.35
2019-11-17,0.27,8577.98,185.12
2019-11-18,0.26,8309.29,180.56
2019-11-19,0.26,8206.15,177.46
2019-11-20,0.25,8027.27,175.70
2019-11-21,0.24,7642.75,161.46
2019-11-22,0.23,7296.58,150.27
2019-11-23,0.24,7397.80,153.42
2019-11-24,0.22,7047.92,142.83
2019-11-25,0.22,7146.13,146.48
2019-11-26,0.22,7218.37,148.97
2019-11-27,0.23,7531.66,153.01
2019-11-28,0.22,7463.11,151.72
2019-11-29,0.23,7761.24,155.30
2019-11-30,0.23,7569.63,152.54
2019-12-01,0.23,7424.29,151.19
2019-12-02,0.22,7321.99,149.06
2019-12-03,0.22,7320.15,147.96
2019-12-04,0.22,7252.04,146.75
2019-12-05,0.22,7448.31,149.25
2019-12-06,0.23,7547.00,149.19
2019-12-07,0.23,7556.24,148.77
2019-12-08,0.23,7564.35,151.26
2019-12-09,0.23,7400.90,148.23
2019-12-10,0.22,7278.12,146.27
2019-12-11,0.22,7217.43,143.61
2019-12-12,0.22,7243.13,145.60
2019-12-13,0.22,7269.69,144.94
2019-12-14,0.22,7124.67,142.87
2019-12-15,0.22,7152.30,143.12
2019-12-16,0.21,6932.48,133.61
2019-12-17,0.18,6640.52,122.60
2019-12-18,0.20,7276.80,133.09
2019-12-19,0.19,7202.84,129.32
2019-12-20,0.20,7218.82,129.07
2019-12-21,0.19,7191.16,128.13
2019-12-22,0.20,7511.59,132.37
2019-12-23,0.19,7355.63,128.61
2019-12-24,0.19,7322.53,129.06
2019-12-25,0.19,7275.16,126.45
2019-12-26,0.19,7238.97,126.36
2019-12-27,0.19,7290.09,127.21
2019-12-28,0.19,7317.99,128.32
2019-12-29,0.20,7422.65,134.76
2019-12-30,0.19,7293.00,132.63
2019-12-31,0.19,7193.60,129.61
2020-01-01,0.19,7200.17,130.80
2020-01-02,0.19,6985.47,127.41
2020-01-03,0.19,7344.88,134.17
2020-01-04,0.19,7410.66,135.07
2020-01-05,0.20,7411.32,136.28
2020-01-06,0.22,7769.22,144.30
2020-01-07,0.21,8163.69,143.54
2020-01-08,0.21,8079.86,141.26
2020-01-09,0.20,7879.07,138.98
2020-01-10,0.21,8166.55,143.96
2020-01-11,0.21,8037.54,142.93
2020-01-12,0.22,8192.49,145.87
2020-01-13,0.21,8144.19,144.23
2020-01-14,0.23,8827.77,165.96
2020-01-15,0.23,8807.01,166.23
2020-01-16,0.23,8723.79,164.39
2020-01-17,0.24,8929.04,170.78
2020-01-18,0.24,8942.81,175.37
2020-01-19,0.24,8706.25,166.97
2020-01-20,0.23,8657.64,167.12
2020-01-21,0.24,8745.90,169.70
2020-01-22,0.24,8680.88,168.29
2020-01-23,0.23,8406.52,162.93
2020-01-24,0.22,8445.44,163.05
2020-01-25,0.22,8367.85,161.28
2020-01-26,0.23,8596.83,168.08
2020-01-27,0.23,8909.82,170.93
2020-01-28,0.24,9358.59,176.37
2020-01-29,0.24,9316.63,175.05
2020-01-30,0.24,9508.99,184.69
2020-01-31,0.24,9350.53,180.16
2020-02-01,0.24,9392.88,183.67
2020-02-02,0.25,9344.37,188.62
2020-02-03,0.25,9293.52,189.87
2020-02-04,0.27,9180.96,189.25
2020-02-05,0.28,9613.42,204.23
2020-02-06,0.28,9729.80,212.34
2020-02-07,0.28,9795.94,222.73
2020-02-08,0.28,9865.12,223.15
2020-02-09,0.28,10116.67,228.58
2020-02-10,0.27,9856.61,223.52
2020-02-11,0.28,10208.24,235.85
2020-02-12,0.30,10326.05,265.41
2020-02-13,0.33,10214.38,268.10
2020-02-14,0.33,10312.12,284.22
2020-02-15,0.31,9889.43,264.73
2020-02-16,0.30,9934.43,259.89
2020-02-17,0.29,9690.14,266.36
2020-02-18,0.30,10142.00,281.94
2020-02-19,0.28,9633.39,259.76
2020-02-20,0.27,9608.48,257.95
2020-02-21,0.27,9686.44,265.60
2020-02-22,0.28,9663.18,262.33
2020-02-23,0.28,9924.52,273.75
2020-02-24,0.27,9650.18,265.22
2020-02-25,0.25,9341.71,247.82
2020-02-26,0.23,8820.52,225.68
2020-02-27,0.24,8784.49,226.75
2020-02-28,0.24,8672.46,226.76
2020-02-29,0.23,8599.51,219.85
2020-03-01,0.23,8562.45,218.97
2020-03-02,0.24,8869.67,230.57
2020-03-03,0.23,8787.79,224.48
2020-03-04,0.23,8755.25,224.52
2020-03-05,0.24,9078.76,229.27
2020-03-06,0.24,9122.55,243.53
2020-03-07,0.24,8909.95,237.85
2020-03-08,0.21,8108.12,200.69
2020-03-09,0.21,7923.65,201.99
2020-03-10,0.21,7909.73,200.77
2020-03-11,0.21,7911.43,194.87
2020-03-12,0.14,4970.79,112.35
2020-03-13,0.16,5563.71,133.20
2020-03-14,0.15,5200.37,123.31
2020-03-15,0.15,5392.32,125.21
2020-03-16,0.14,5014.48,110.61
2020-03-17,0.14,5225.63,113.94
2020-03-18,0.14,5238.44,114.84
2020-03-19,0.17,6191.19,136.59
2020-03-20,0.16,6198.78,132.74
2020-03-21,0.16,6185.07,132.82
2020-03-22,0.15,5830.26,123.32
2020-03-23,0.16,6416.32,134.91
2020-03-24,0.16,6734.80,138.76
2020-03-25,0.16,6681.06,136.20
2020-03-26,0.18,6716.44,138.36
2020-03-27,0.18,6469.80,133.94
2020-03-28,0.18,6242.19,130.99
2020-03-29,0.16,5922.04,125.58
2020-03-30,0.17,6429.84,132.90
2020-03-31,0.17,6438.65,133.59
2020-04-01,0.18,6606.78,135.63
2020-04-02,0.18,6793.63,142.03
2020-04-03,0.18,6733.39,142.09
2020-04-04,0.18,6867.53,145.22
2020-04-05,0.18,6791.13,143.55
2020-04-06,0.20,7271.78,169.14
2020-04-07,0.19,7176.42,165.10
2020-04-08,0.20,7334.10,172.64
2020-04-09,0.20,7302.09,170.81
2020-04-10,0.19,6865.49,158.41
2020-04-11,0.19,6859.08,158.22
2020-04-12,0.19,6971.09,161.14
2020-04-13,0.19,6845.04,156.28
2020-04-14,0.19,6842.43,157.60
2020-04-15,0.18,6642.11,153.29
2020-04-16,0.19,7116.80,172.16
2020-04-17,0.19,7096.19,171.64
2020-04-18,0.19,7257.67,186.91
2020-04-19,0.19,7189.43,181.62
2020-04-20,0.18,6881.96,172.30
2020-04-21,0.18,6880.32,172.74
2020-04-22,0.19,7117.21,182.60
2020-04-23,0.19,7429.73,185.03
2020-04-24,0.19,7550.90,189.24
2020-04-25,0.20,7569.94,195.52
2020-04-26,0.20,7679.87,197.32
2020-04-27,0.20,7795.60,197.22
2020-04-28,0.22,7807.06,198.42
2020-04-29,0.23,8801.04,216.97
2020-04-30,0.21,8658.55,207.60
2020-05-01,0.22,8864.77,214.22
2020-05-02,0.22,8988.60,215.33
2020-05-03,0.22,8897.47,210.93
2020-05-04,0.22,8912.65,208.17
2020-05-05,0.22,9003.07,206.77
2020-05-06,0.22,9268.76,204.06
2020-05-07,0.22,9951.52,212.29
2020-05-08,0.22,9842.67,212.99
2020-05-09,0.22,9593.90,211.60
2020-05-10,0.20,8756.43,188.60
2020-05-11,0.19,8601.80,185.91
2020-05-12,0.20,8804.48,189.31
2020-05-13,0.20,9269.99,199.19
2020-05-14,0.20,9733.72,202.95
2020-05-15,0.20,9328.20,195.62
2020-05-16,0.20,9377.01,200.68
2020-05-17,0.20,9670.74,207.16
2020-05-18,0.21,9726.58,214.53
2020-05-19,0.20,9729.04,213.45
2020-05-20,0.20,9522.98,210.10
2020-05-21,0.20,9081.76,199.88
2020-05-22,0.20,9182.58,207.17
2020-05-23,0.20,9209.29,208.69
2020-05-24,0.20,8790.37,202.37
2020-05-25,0.20,8906.94,205.32
2020-05-26,0.19,8835.05,201.90
2020-05-27,0.20,9181.02,208.86
2020-05-28,0.20,9525.75,219.84
2020-05-29,0.20,9439.12,220.68
2020-05-30,0.21,9700.41,242.35
2020-05-31,0.20,9461.06,230.98
2020-06-01,0.21,10167.27,246.99
2020-06-02,0.20,9529.80,237.22
2020-06-03,0.20,9656.72,244.18
2020-06-04,0.20,9800.64,244.43
2020-06-05,0.20,9665.53,241.22
2020-06-06,0.20,9653.68,241.93
2020-06-07,0.20,9758.85,245.17
2020-06-08,0.20,9771.49,246.31
2020-06-09,0.20,9795.70,244.91
2020-06-10,0.20,9870.10,247.44
2020-06-11,0.19,9321.78,231.70
2020-06-12,0.19,9480.84,237.49
2020-06-13,0.19,9475.28,238.91
2020-06-14,0.19,9386.79,234.11
2020-06-15,0.19,9450.70,229.93
2020-06-16,0.19,9538.02,234.42
2020-06-17,0.19,9480.26,233.03
2020-06-18,0.19,9411.84,232.10
2020-06-19,0.19,9288.02,227.14
2020-06-20,0.19,9332.34,229.27
2020-06-21,0.19,9303.63,228.99
2020-06-22,0.19,9648.72,242.53
2020-06-23,0.19,9629.66,244.14
2020-06-24,0.18,9313.61,235.77
2020-06-25,0.18,9264.81,232.94
2020-06-26,0.18,9162.92,229.67
2020-06-27,0.18,9045.39,222.96
2020-06-28,0.18,9143.58,225.35
2020-06-29,0.18,9190.85,228.19
2020-06-30,0.18,9137.99,226.32
2020-07-01,0.18,9228.33,231.11
2020-07-02,0.18,9123.41,229.39
2020-07-03,0.18,9087.30,225.39
2020-07-04,0.18,9132.49,229.07
2020-07-05,0.18,9073.94,227.66
2020-07-06,0.19,9375.48,241.51
2020-07-07,0.18,9252.28,239.08
2020-07-08,0.20,9428.33,246.67
2020-07-09,0.20,9277.97,243.02
2020-07-10,0.20,9278.81,240.99
2020-07-11,0.20,9240.35,239.46
2020-07-12,0.20,9276.50,242.13
2020-07-13,0.20,9243.61,239.60
2020-07-14,0.20,9243.21,240.21
2020-07-15,0.20,9192.84,238.42
2020-07-16,0.19,9132.23,233.64
2020-07-17,0.19,9151.39,232.77
2020-07-18,0.20,9159.04,235.48
2020-07-19,0.20,9185.82,238.49
2020-07-20,0.20,9164.23,236.15
2020-07-21,0.20,9374.89,245.02
2020-07-22,0.20,9525.36,262.19
2020-07-23,0.21,9581.07,274.69
2020-07-24,0.20,9536.89,279.22
2020-07-25,0.21,9677.11,304.06
2020-07-26,0.21,9905.17,309.64
2020-07-27,0.22,10990.87,321.51
2020-07-28,0.23,10912.82,316.66
2020-07-29,0.24,11100.47,318.19
2020-07-30,0.24,11111.21,334.59
2020-07-31,0.26,11323.47,345.55
2020-08-01,0.29,11759.59,385.20
2020-08-02,0.29,11053.61,370.67
2020-08-03,0.31,11246.35,386.30
2020-08-04,0.30,11205.89,389.88
2020-08-05,0.30,11747.02,401.59
2020-08-06,0.30,11779.77,394.96
2020-08-07,0.29,11601.47,379.51
2020-08-08,0.29,11754.05,393.99
2020-08-09,0.29,11675.74,391.12
2020-08-10,0.29,11878.11,395.89
2020-08-11,0.28,11410.53,380.38
2020-08-12,0.28,11584.93,391.02
2020-08-13,0.30,11784.14,428.74
2020-08-14,0.30,11768.87,437.40
2020-08-15,0.30,11865.70,433.35
2020-08-16,0.30,11892.80,433.79
2020-08-17,0.31,12254.40,429.53
2020-08-18,0.30,11991.23,423.67
2020-08-19,0.29,11758.28,406.46
2020-08-20,0.29,11878.37,416.44
2020-08-21,0.28,11592.49,389.13
2020-08-22,0.29,11681.83,395.84
2020-08-23,0.29,11664.85,391.38
2020-08-24,0.29,11774.60,408.14
2020-08-25,0.28,11366.13,384.00
2020-08-26,0.28,11488.36,386.47
2020-08-27,0.26,11323.40,382.63
2020-08-28,0.27,11542.50,395.87
2020-08-29,0.27,11506.87,399.92
2020-08-30,0.28,11711.51,428.40
2020-08-31,0.28,11680.82,435.08
2020-09-01,0.30,11970.48,477.05
2020-09-02,0.28,11414.03,440.04
2020-09-03,0.25,10245.30,385.67
2020-09-04,0.26,10511.81,388.24
2020-09-05,0.24,10169.57,335.26
2020-09-06,0.24,10280.35,353.36
2020-09-07,0.24,10369.56,352.67
2020-09-08,0.24,10131.52,337.60
2020-09-09,0.24,10242.35,351.11
2020-09-10,0.24,10363.14,368.10
2020-09-11,0.24,10400.92,374.70
2020-09-12,0.25,10442.17,387.18
2020-09-13,0.24,10323.76,365.57
2020-09-14,0.25,10680.84,377.27
2020-09-15,0.24,10796.95,364.84
2020-09-16,0.25,10974.91,365.81
2020-09-17,0.25,10948.99,389.02
2020-09-18,0.25,10944.59,384.36
2020-09-19,0.25,11094.35,385.54
2020-09-20,0.25,10938.27,371.05
2020-09-21,0.23,10462.26,341.79
2020-09-22,0.23,10538.46,344.50
2020-09-23,0.22,10246.19,321.12
2020-09-24,0.23,10760.07,349.36
2020-09-25,0.24,10692.72,352.18
2020-09-26,0.24,10750.72,355.49
2020-09-27,0.24,10775.27,357.44
2020-09-28,0.24,10709.65,355.16
2020-09-29,0.24,10844.64,359.76
2020-09-30,0.24,10784.49,359.94
2020-10-01,0.24,10619.45,353.21
2020-10-02,0.23,10575.97,346.24
2020-10-03,0.23,10549.33,346.52
2020-10-04,0.25,10669.58,352.58
2020-10-05,0.25,10793.34,353.96
2020-10-06,0.25,10604.41,340.82
2020-10-07,0.25,10668.97,341.81
2020-10-08,0.25,10915.69,350.77
2020-10-09,0.25,11064.46,365.59
2020-10-10,0.25,11296.36,370.97
2020-10-11,0.26,11384.18,375.14
2020-10-12,0.26,11555.36,387.73
2020-10-13,0.26,11425.90,381.19
2020-10-14,0.25,11429.51,379.48
2020-10-15,0.25,11495.35,377.44
2020-10-16,0.24,11322.12,366.23
2020-10-17,0.24,11358.10,368.86
2020-10-18,0.24,11483.36,378.21
2020-10-19,0.25,11742.04,379.94
2020-10-20,0.24,11916.33,369.14
2020-10-21,0.25,12823.69,392.19
2020-10-22,0.26,12965.89,413.77
2020-10-23,0.25,12931.54,409.77
2020-10-24,0.26,13108.06,412.46
2020-10-25,0.25,13031.17,406.22
2020-10-26,0.25,13075.25,393.89
2020-10-27,0.25,13654.22,404.00
2020-10-28,0.25,13271.29,388.65
2020-10-29,0.24,13437.88,386.73
2020-10-30,0.24,13546.52,382.82
2020-10-31,0.24,13781.00,386.59
2020-11-01,0.24,13737.11,396.36
2020-11-02,0.24,13550.49,383.16
2020-11-03,0.24,13950.30,387.60
2020-11-04,0.24,14133.71,402.14
2020-11-05,0.25,15579.85,414.07
2020-11-06,0.26,15565.88,454.72
2020-11-07,0.25,14833.75,435.71
2020-11-08,0.25,15479.57,453.55
2020-11-09,0.25,15332.32,444.16
2020-11-10,0.25,15290.90,449.68
2020-11-11,0.26,15701.34,462.96
2020-11-12,0.25,16276.34,461.01
2020-11-13,0.27,16317.81,474.63
2020-11-14,0.27,16068.14,460.15
2020-11-15,0.27,15955.59,447.56
2020-11-16,0.29,16716.11,459.94
2020-11-17,0.30,17645.41,480.36
2020-11-18,0.29,17804.01,479.48
2020-11-19,0.30,17817.09,471.63
2020-11-20,0.33,18621.31,509.74
2020-11-21,0.46,18642.23,549.49
2020-11-22,0.44,18370.00,558.07
2020-11-23,0.61,18364.12,608.45
2020-11-24,0.69,19107.46,603.90
2020-11-25,0.64,18732.12,570.69
2020-11-26,0.53,17150.62,518.80
2020-11-27,0.56,17108.40,517.49
2020-11-28,0.63,17717.41,538.23
2020-11-29,0.61,18177.48,575.76
2020-11-30,0.66,19625.84,614.84
2020-12-01,0.61,18803.00,587.32
2020-12-02,0.63,19201.09,598.35
2020-12-03,0.63,19445.40,616.71
2020-12-04,0.56,18699.77,569.35
2020-12-05,0.58,19154.23,596.60
2020-12-06,0.62,19345.12,601.91
2020-12-07,0.61,19191.63,591.84
2020-12-08,0.56,18321.14,554.83
2020-12-09,0.58,18553.92,573.48
