year,region,value,value2
2022,World,-1.08,1.8
2023,World,-1.16,0.9
2022,US,-0.41,1.5
2023,US,-0.65,0.5
2022,China,-0.48,2.1
2023,China,-0.59,0.6
2022,Euro area,-1.19,2.0
2023,Euro area,-1.48,0.3
2022,UK,-0.71,1.2
2023,UK,-0.95,0.9
2022,Russia,-11.92,7.8
2023,Russia,-11.27,-1.9
