Date,Measure,Value,Detail
2021-01-26,Second dose,474156,
2021-01-25,Second dose,472446,
2021-01-24,Second dose,470478,
2021-01-23,Second dose,469660,
2021-01-22,Second dose,468617,
2021-01-21,Second dose,466796,
2021-01-20,Second dose,464036,
2021-01-19,Second dose,460625,
2021-01-18,Second dose,456866,
2021-01-17,Second dose,452301,
2021-01-16,Second dose,450062,
2021-01-15,Second dose,447442,
2021-01-14,Second dose,443234,
2021-01-13,Second dose,437977,
2021-01-12,Second dose,428232,
2021-01-11,Second dose,412167,
2021-01-10,Second dose,391399,
