Meetings,Value,Detail
1,-0.060522753,Correlation between health states of A and B with more meetings
2,0.010869935,
3,0.073165175,
4,0.128589593,
5,0.178640767,
6,0.224368158,
7,0.266531318,
8,0.30569441,
9,0.342285483,
10,0.376635155,
11,0.409002753,
12,0.439594476,
13,0.468576357,
14,0.4960837,
15,0.522228087,
16,0.547102659,
17,0.570786155,
18,0.593346023,
19,0.614840846,
20,0.635322247,
21,0.654836372,
22,0.673425073,
23,0.691126824,
24,0.707977443,
25,0.724010661,
26,0.739258547,
27,0.753751839,
28,0.767520194,
29,0.780592365,
30,0.792996328,
31,0.80475937,
32,0.815908141,
33,0.826468682,
34,0.836466443,
35,0.845926273,
36,0.854872415,
37,0.86332849,
38,0.871317477,
39,0.878861696,
40,0.885982788,
41,0.892701699,
42,0.899038667,
43,0.905013212,
44,0.910644129,
45,0.915949481,
46,0.920946606,
47,0.925652115,
48,0.930081899,
49,0.934251143,
50,0.938174332,
51,0.94186527,
52,0.945337095,
53,0.948602297,
54,0.951672736,
55,0.954559665,
56,0.957273751,
57,0.959825094,
58,0.962223252,
59,0.964477262,
60,0.966595665,
61,0.968586522,
62,0.970457446,
63,0.972215611,
64,0.973867786,
65,0.975420344,
66,0.976879292,
67,0.978250282,
68,0.979538636,
69,0.980749358,
70,0.981887157,
71,0.98295646,
72,0.983961428,
73,0.984905973,
74,0.98579377,
75,0.986628272,
76,0.98741272,
77,0.988150163,
78,0.988843459,
79,0.989495296,
80,0.990108193,
81,0.99068452,
82,0.991226497,
83,0.991736212,
84,0.992215622,
85,0.992666565,
86,0.993090767,
87,0.993489845,
88,0.993865321,
89,0.994218621,
90,0.994551083,
91,0.994863964,
92,0.995158443,
93,0.995435628,
94,0.995696558,
95,0.995942208,
96,0.996173495,
97,0.996391279,
98,0.996596366,
99,0.996789515,
100,0.996971438,
101,0.997142802,
102,0.997304237,
103,0.99745633,
104,0.997599637,
105,0.997734678,
106,0.99786194,
107,0.997981883,
108,0.998094939,
109,0.998201513,
110,0.998301985,
111,0.998396714,
112,0.998486035,
113,0.998570266,
114,0.998649704,
115,0.998724627,
116,0.9987953,
117,0.998861968,
118,0.998924865,
119,0.998984209,
120,0.999040205,
121,0.999093047,
122,0.999142917,
123,0.999189986,
124,0.999234415,
125,0.999276355,
126,0.99931595,
127,0.999353334,
128,0.999388632,
129,0.999421964,
130,0.999453443,
131,0.999483173,
132,0.999511253,
133,0.999537778,
134,0.999562836,
135,0.999586508,
136,0.999608875,
137,0.999630009,
138,0.99964998,
139,0.999668852,
140,0.999686689,
141,0.999703548,
142,0.999719483,
143,0.999734546,
144,0.999748787,
145,0.99976225,
146,0.99977498,
147,0.999787016,
148,0.999798398,
149,0.999809162,
150,0.999819341,
151,0.999828969,
152,0.999838076,
153,0.99984669,
154,0.999854839,
155,0.999862548,
156,0.999869841,
157,0.999876742,
158,0.999883272,
159,0.99988945,
160,0.999895297,
161,0.99990083,
162,0.999906067,
163,0.999911024,
164,0.999915715,
165,0.999920156,
166,0.999924359,
167,0.999928339,
168,0.999932106,
169,0.999935673,
170,0.99993905,
171,0.999942248,
172,0.999945276,
173,0.999948143,
174,0.999950858,
175,0.99995343,
176,0.999955865,
177,0.999958172,
178,0.999960356,
179,0.999962426,
180,0.999964386,
181,0.999966243,
182,0.999968002,
183,0.999969668,
184,0.999971247,
185,0.999972743,
186,0.99997416,
187,0.999975503,
188,0.999976775,
189,0.999977981,
190,0.999979123,
191,0.999980206,
192,0.999981232,
193,0.999982204,
194,0.999983126,
195,0.999983999,
196,0.999984827,
197,0.999985612,
198,0.999986356,
199,0.999987061,
200,0.999987729,
201,0.999988363,
