Period,Total weekly hours worked (millions),Measure,,,
2014-06-01,987.24,Hours worked,,,
2014-07-01,990.248,Hours worked,,,
2014-08-01,991.615,Hours worked,,,
2014-09-01,996.329,Hours worked,,,
2014-10-01,995.986,Hours worked,,,
2014-11-01,997.519,Hours worked,,,
2014-12-01,996.703,Hours worked,,,
2015-01-01,998.987,Hours worked,,,
2015-02-01,1000.271,Hours worked,,,
2015-03-01,1000.164,Hours worked,,,
2015-04-01,997.754,Hours worked,,,
2015-05-01,998.975,Hours worked,,,
2015-06-01,997.518,Hours worked,,,
2015-07-01,1000.11,Hours worked,,,
2015-08-01,999.329,Hours worked,,,
2015-09-01,1008.551,Hours worked,,,
2015-10-01,1014.277,Hours worked,,,
2015-11-01,1019.032,Hours worked,,,
2015-12-01,1014.515,Hours worked,,,
2016-01-01,1012.918,Hours worked,,,
2016-02-01,1013.946,Hours worked,,,
2016-03-01,1014.711,Hours worked,,,
2016-04-01,1018.017,Hours worked,,,
2016-05-01,1016.518,Hours worked,,,
2016-06-01,1018.329,Hours worked,,,
2016-07-01,1016.204,Hours worked,,,
2016-08-01,1018.859,Hours worked,,,
2016-09-01,1014.824,Hours worked,,,
2016-10-01,1019.077,Hours worked,,,
2016-11-01,1022.857,Hours worked,,,
2016-12-01,1026.997,Hours worked,,,
2017-01-01,1029.102,Hours worked,,,
2017-02-01,1029.283,Hours worked,,,
2017-03-01,1029.915,Hours worked,,,
2017-04-01,1029.475,Hours worked,,,
2017-05-01,1034.754,Hours worked,,,
2017-06-01,1033.073,Hours worked,,,
2017-07-01,1030.605,Hours worked,,,
2017-08-01,1024.523,Hours worked,,,
2017-09-01,1024.943,Hours worked,,,
2017-10-01,1028.535,Hours worked,,,
2017-11-01,1026.861,Hours worked,,,
2017-12-01,1034.617,Hours worked,,,
2018-01-01,1031.676,Hours worked,,,
2018-02-01,1031.883,Hours worked,,,
2018-03-01,1029.588,Hours worked,,,
2018-04-01,1032.46,Hours worked,,,
2018-05-01,1033.619,Hours worked,,,
2018-06-01,1035.248,Hours worked,,,
2018-07-01,1041.132,Hours worked,,,
2018-08-01,1042.713,Hours worked,,,
2018-09-01,1044.804,Hours worked,,,
2018-10-01,1040.093,Hours worked,,,
2018-11-01,1041.965,Hours worked,,,
2018-12-01,1047.523,Hours worked,,,
2019-01-01,1052.922,Hours worked,,,
2019-02-01,1052.941,Hours worked,,,
2019-03-01,1054.111,Hours worked,,,
2019-04-01,1052.407,Hours worked,,,
2019-05-01,1052.605,Hours worked,,,
2019-06-01,1049.778,Hours worked,,,
2019-07-01,1049.194,Hours worked,,,
2019-08-01,1052.627,Hours worked,,,
2019-09-01,1055.733,Hours worked,,,
2019-10-01,1054.142,Hours worked,,,
2019-11-01,1050.114,Hours worked,,,
2019-12-01,1051.102,Hours worked,,,
2020-01-01,1052.196,Hours worked,,,
2020-02-01,1029.197,Hours worked,,,
2020-03-01,953.449,Hours worked,,,
2020-04-01,870.941,Hours worked,,,
2020-05-01,841.907,Hours worked,,,
2020-06-01,855.133,Hours worked,,,
2020-07-01,890.955,Hours worked,,,
2020-08-01,925.028,Hours worked,,,
2020-09-01,960.02,Hours worked,,,
2020-10-01,979.907,Hours worked,,,
