Year,Region,Value,Detail
2004,Cornwall,4.0,Unemployment rate (model-based estimates)
2005,Cornwall,3.9,ONS
2006,Cornwall,4.0,
2007,Cornwall,4.3,
2008,Cornwall,4.4,
2009,Cornwall,5.7,
2010,Cornwall,6.6,
2011,Cornwall,6.4,
2012,Cornwall,5.9,
2013,Cornwall,6.0,
2014,Cornwall,5.2,
2015,Cornwall,4.0,
2016,Cornwall,4.1,
2017,Cornwall,3.1,
2018,Cornwall,2.8,
2019,Cornwall,3.1,
2020,Cornwall,4.0,
2004,South West,3.4,
2005,South West,3.4,
2006,South West,3.7,
2007,South West,3.9,
2008,South West,4.1,
2009,South West,6.2,
2010,South West,5.9,
2011,South West,6.0,
2012,South West,5.8,
2013,South West,5.8,
2014,South West,5.1,
2015,South West,3.9,
2016,South West,4.1,
2017,South West,3.3,
2018,South West,3.1,
2019,South West,3.1,
2020,South West,3.8,
2004,UK,4.8,
2005,UK,4.9,
2006,UK,5.4,
2007,UK,5.2,
2008,UK,5.7,
2009,UK,7.7,
2010,UK,7.6,
2011,UK,8.0,
2012,UK,7.9,
2013,UK,7.5,
2014,UK,6.2,
2015,UK,5.2,
2016,UK,4.8,
2017,UK,4.4,
2018,UK,4.2,
2019,UK,3.9,
2020,UK,4.6,
