date,nation,value
2005-01-01,England,158572
2005-02-01,England,158609
2005-03-01,England,159642
2005-04-01,England,161336
2005-05-01,England,163064
2005-06-01,England,164069
2005-07-01,England,165756
2005-08-01,England,166440
2005-09-01,England,166168
2005-10-01,England,165637
2005-11-01,England,166303
2005-12-01,England,167244
2006-01-01,England,166544
2006-02-01,England,166896
2006-03-01,England,168001
2006-04-01,England,171129
2006-05-01,England,172699
2006-06-01,England,174231
2006-07-01,England,176164
2006-08-01,England,177603
2006-09-01,England,178275
2006-10-01,England,178927
2006-11-01,England,179718
2006-12-01,England,182031
2007-01-01,England,181824
2007-02-01,England,182397
2007-03-01,England,183712
2007-04-01,England,186711
2007-05-01,England,188814
2007-06-01,England,190822
2007-07-01,England,193360
2007-08-01,England,194328
2007-09-01,England,194764
2007-10-01,England,194700
2007-11-01,England,194502
2007-12-01,England,194373
2008-01-01,England,191750
2008-02-01,England,190066
2008-03-01,England,188657
2008-04-01,England,189115
2008-05-01,England,189777
2008-06-01,England,187350
2008-07-01,England,185844
2008-08-01,England,181494
2008-09-01,England,177232
2008-10-01,England,173249
2008-11-01,England,168230
2008-12-01,England,165795
2009-01-01,England,162673
2009-02-01,England,160956
2009-03-01,England,159340
2009-04-01,England,160701
2009-05-01,England,162740
2009-06-01,England,164536
2009-07-01,England,167673
2009-08-01,England,169603
2009-09-01,England,171214
2009-10-01,England,172314
2009-11-01,England,172818
2009-12-01,England,174136
2010-01-01,England,174458
2010-02-01,England,175248
2010-03-01,England,174765
2010-04-01,England,176796
2010-05-01,England,177754
2010-06-01,England,178655
2010-07-01,England,180519
2010-08-01,England,180807
2010-09-01,England,180231
2010-10-01,England,178102
2010-11-01,England,176301
2010-12-01,England,176036
2011-01-01,England,174442
2011-02-01,England,173811
2011-03-01,England,173046
2011-04-01,England,175490
2011-05-01,England,174668
2011-06-01,England,174838
2011-07-01,England,177164
2011-08-01,England,177335
2011-09-01,England,176783
2011-10-01,England,175171
2011-11-01,England,175200
2011-12-01,England,174812
2012-01-01,England,174179
2012-02-01,England,174161
2012-03-01,England,174323
2012-04-01,England,176543
2012-05-01,England,177026
2012-06-01,England,178696
2012-07-01,England,179756
2012-08-01,England,180129
2012-09-01,England,179563
2012-10-01,England,178412
2012-11-01,England,178662
2012-12-01,England,178406
2013-01-01,England,176816
2013-02-01,England,177203
2013-03-01,England,178189
2013-04-01,England,179900
2013-05-01,England,180621
2013-06-01,England,182088
2013-07-01,England,184274
2013-08-01,England,185642
2013-09-01,England,186082
2013-10-01,England,185358
2013-11-01,England,186260
2013-12-01,England,188544
2014-01-01,England,188265
2014-02-01,England,189347
2014-03-01,England,190037
2014-04-01,England,194251
2014-05-01,England,196171
