Region,Value,Detail
London,131.62,Regional productivity (GVA) per hour worked in 2018 (UK=100)
South East,109.06,
Scotland,97.62,
East of England,95.38,
North West,91.59,
South West,90.17,
West Midlands,89.6,
North East,86.46,
East Midlands,86.45,
Northern Ireland,84.44,
Yorkshire & The Humber,83.53,
Wales,82.75,
