Year,Unemployment rate
1855,3.731877457
1856,3.518180051
1857,3.945176266
1858,5.215345255
1859,3.276380364
1860,2.9411261
1861,3.721008403
1862,4.671701514
1863,4.144173944
1864,2.996737784
1865,2.957854654
1866,3.295260733
1867,4.828357059
1868,4.997657952
1869,4.673417017
1870,3.764152896
1871,3.079857651
1872,2.311469753
1873,2.400424044
1874,2.830975827
1875,3.433789277
1876,4.12330511
1877,5.669391408
1878,6.785955477
1879,7.827356648
1880,5.684694451
1881,4.912749004
1882,4.311129186
1883,4.226603618
1884,5.436313285
1885,6.901508546
1886,6.813580709
1887,6.122164066
1888,5.003227186
1889,3.710814897
1890,3.453293026
1891,4.229411765
1892,5.266403123
1893,6.300149057
1894,6.042622815
1895,6.299395459
1896,5.262088683
1897,5.090777236
1898,4.226581951
1899,3.70581761
1900,3.676091123
1901,4.86391863
1902,5.128816454
1903,5.580766862
1904,6.872657077
1905,6.446801285
1906,5.160323529
1907,4.388670709
1908,7.056438362
1909,7.483104349
1910,5.762959409
1911,4.728543404
1912,3.965957635
1913,3.631323593
1914,3.156384505
1915,0.948316738
1916,0.329102022
1917,0.466200466
1918,0.647249191
1919,3.024747938
1920,1.954545455
1921,11.02378229
1922,9.67571486
1923,7.987518452
1924,7.117407623
1925,7.759829826
1926,8.666889674
1927,6.713612931
1928,7.426827171
1929,7.183500997
1930,11.09812724
1931,14.87620546
1932,15.38729839
1933,13.92737214
1934,11.73411143
1935,10.87303083
1936,9.248113095
1937,7.696564416
1938,9.20182774
1939,5.684615875
1940,2.990737005
1941,1.034030386
1942,0.442926614
1943,0.319946153
1944,0.283456847
1945,0.412768875
1946,2.038237195
1947,1.624175019
1948,1.64035095
1949,1.526540112
1950,1.823362454
1951,1.567376539
1952,2.358966568
1953,2.032146019
1954,1.768046522
1955,1.550357882
1956,1.639878334
1957,1.888460014
1958,2.528965495
1959,2.64239938
1960,2.141875998
1961,2.071180038
1962,2.601351203
1963,3.103782893
1964,2.397237972
1965,2.263639852
1966,2.472283548
1967,3.371969915
1968,3.485323325
1969,3.498876788
1970,3.752455705
1971,4.138470565
1972,4.343257443
1973,3.650959052
1974,3.649382146
1975,4.496878232
1976,5.396946565
1977,5.593820161
1978,5.505247604
1979,5.377999775
1980,6.809316839
1981,9.649025482
1982,10.71721464
1983,11.47229669
1984,11.77432246
1985,11.35781999
1986,11.32372966
1987,10.43330139
1988,8.574434508
1989,7.221393639
1990,7.097911769
1991,8.817788931
1992,9.949933009
1993,10.37475205
1994,9.496096522
1995,8.621788065
1996,8.09705177
1997,6.972013748
1998,6.255466536
1999,5.976812597
2000,5.459048536
2001,5.09914044
2002,5.187799002
2003,5.011780545
2004,4.753956066
2005,4.829451738
2006,5.423739816
2007,5.333032578
2008,5.685363214
2009,7.614309706
2010,7.870764381
2011,8.110982514
2012,7.970745011
2013,7.608093979
2014,6.180032334
2015,5.384406083
2016,4.89588015
