date,region,value
1998,Scotland,92
1999,Scotland,91.7
2000,Scotland,91.1
2001,Scotland,89.8
2002,Scotland,90.5
2003,Scotland,91.2
2004,Scotland,93.5
2005,Scotland,92.9
2006,Scotland,92.6
2007,Scotland,91.7
2008,Scotland,92.7
2009,Scotland,96.1
2010,Scotland,96.6
2011,Scotland,96.3
2012,Scotland,97.7
2013,Scotland,98.1
2014,Scotland,98.6
2015,Scotland,98.4
2016,Scotland,96.8
2017,Scotland,96.4
2018,Scotland,97.5
2019,Scotland,97.9
2020,Scotland,97.6
1998,North East,88.9
1999,North East,88.9
2000,North East,88.1
2001,North East,90.7
2002,North East,90.2
2003,North East,88.4
2004,North East,89.5
2005,North East,89.8
2006,North East,88.3
2007,North East,86.8
2008,North East,86.2
2009,North East,86.7
2010,North East,86.9
2011,North East,88.8
2012,North East,89.4
2013,North East,87.4
2014,North East,87.1
2015,North East,87.2
2016,North East,88
2017,North East,86.2
2018,North East,84.3
2019,North East,86.5
2020,North East,86.4
1998,Wales,87.1
1999,Wales,86.9
2000,Wales,87.3
2001,Wales,85.7
2002,Wales,84.6
2003,Wales,85
2004,Wales,84.7
2005,Wales,82.6
2006,Wales,82.5
2007,Wales,82.1
2008,Wales,81.8
2009,Wales,81.7
2010,Wales,82.1
2011,Wales,83.1
2012,Wales,85
2013,Wales,84.6
2014,Wales,83
2015,Wales,82.2
2016,Wales,83.1
2017,Wales,83.4
2018,Wales,82.6
2019,Wales,85.5
2020,Wales,83.9
1998,Nothern Ireland,81.4
1999,Nothern Ireland,80.7
2000,Nothern Ireland,84
2001,Nothern Ireland,85
2002,Nothern Ireland,82.8
2003,Nothern Ireland,82.7
2004,Nothern Ireland,81.8
2005,Nothern Ireland,81.2
2006,Nothern Ireland,82.2
2007,Nothern Ireland,81.6
2008,Nothern Ireland,80.5
2009,Nothern Ireland,81.4
2010,Nothern Ireland,79.7
2011,Nothern Ireland,81.7
2012,Nothern Ireland,84.3
2013,Nothern Ireland,81.4
2014,Nothern Ireland,81.1
2015,Nothern Ireland,83.6
2016,Nothern Ireland,84.9
2017,Nothern Ireland,82.8
2018,Nothern Ireland,83.1
2019,Nothern Ireland,82.1
2020,Nothern Ireland,83.2
