date,value1,value2,owner,CFC wages,CFC points
1948,0.107853468,0.099403579,Pre-Abramovich,29683,50
1949,0.168503308,0.222,Pre-Abramovich,50200,111
1950,0.219554255,0.31,Pre-Abramovich,70662,155
1951,0.277326237,0.315589354,Pre-Abramovich,95880,166
1952,0.334792056,0.352842809,Pre-Abramovich,142985,211
1953,0.167075518,0.187175043,Pre-Abramovich,71445,108
1954,0.08231848,0.089219331,Pre-Abramovich,34257,48
1955,0.201302854,0.245847176,Pre-Abramovich,93169,148
1956,0.225607352,0.260067114,Pre-Abramovich,100703,155
1957,0.331133755,0.376026273,Pre-Abramovich,149390,229
1958,0.212969144,0.213333333,Pre-Abramovich,156642,160
1959,0.204187842,0.207219251,Pre-Abramovich,162157,155
1960,0.092472553,0.147727273,Pre-Abramovich,75266,104
1961,0.130481774,0.149725275,Pre-Abramovich,126643,109
1962,0.167953783,0.208604954,Pre-Abramovich,177312,160
1963,0.187392384,0.240981241,Pre-Abramovich,208956,167
1964,0.133832108,0.150645624,Pre-Abramovich,178738,105
1965,0.327185913,0.313535912,Pre-Abramovich,437868,227
1966,0.232770392,0.215240642,Pre-Abramovich,365470,161
1967,0.180775678,0.167883212,Pre-Abramovich,340978,115
1968,0.254368741,0.242732558,Pre-Abramovich,516366,167
1969,0.233744155,0.245901639,Pre-Abramovich,538964,180
1970,0.206733147,0.262686567,Pre-Abramovich,528750,176
1971,0.239003519,0.211129296,Pre-Abramovich,607486,129
1972,0.18341039,0.196581197,Pre-Abramovich,529875,115
1973,0.279230064,0.254428341,Pre-Abramovich,884022,158
1974,0.255218996,0.280839895,Pre-Abramovich,1186477.17,214
1975,0.213663789,0.270805812,Pre-Abramovich,1087613,205
1976,0.207231204,0.232142857,Pre-Abramovich,1268296,169
1977,0.205669353,0.223152022,Pre-Abramovich,1336140,160
1978,0.20608653,0.183306056,Pre-Abramovich,1452516,112
1979,0.265626506,0.262924668,Pre-Abramovich,2218711,178
1980,0.293770636,0.307162534,Pre-Abramovich,3726665,223
1981,0.260565516,0.313031161,Pre-Abramovich,4048544,221
1982,0.285273313,0.289736603,Pre-Abramovich,5853041,319
1983,0.246201355,0.229019608,Pre-Abramovich,5745133,292
1984,0.248977645,0.240536278,Pre-Abramovich,5871528,305
1985,0.331569846,0.250195465,Pre-Abramovich,9057145,320
1986,0.299421172,0.261755486,Pre-Abramovich,8711353,334
1987,0.301135799,0.240696754,Pre-Abramovich,9517340,304
1988,0.290389323,0.289134438,Pre-Abramovich,9678562,314
1989,0.227414237,0.270428016,Pre-Abramovich,9602243,278
1990,0.30794136,0.263208453,Pre-Abramovich,15801262,274
1991,0.275543803,0.283510125,Pre-Abramovich,17468740,294
1992,0.256512108,0.265800866,Pre-Abramovich,20325863,307
1993,0.226053719,0.250833333,Pre-Abramovich,20864709,301
1994,0.268842099,0.260450161,Pre-Abramovich,31417737,324
1995,0.26475494,0.261980831,Pre-Abramovich,38328995,328
1996,0.271941684,0.282149712,Pre-Abramovich,44340000,294
1997,0.309481633,0.273261508,Pre-Abramovich,67962000,279
1998,0.370893596,0.289662231,Pre-Abramovich,105889223,283
1999,0.291761122,0.291707317,Pre-Abramovich,113792240,299
2000,0.313837362,0.296442688,Pre-Abramovich,146662000,300
2001,0.325211719,0.276227141,Pre-Abramovich,182862000,287
2002,0.316947424,0.3115727,Pre-Abramovich,214416000,315
2003,0.309684587,0.282857143,Pre-Abramovich,231563000,297
2004,0.397544065,0.294573643,Abramovich,317252000,304
2005,0.360792402,0.306796117,Abramovich,282749000,316
2006,0.419667734,0.303857008,Abramovich,363930000,323
2007,0.412769994,0.295585413,Abramovich,392419000,308
2008,0.407609232,0.318269231,Abramovich,484440000,331
2009,0.396964904,0.330339321,Abramovich,495580000,331
2010,0.361748178,0.311023622,Abramovich,482048000,316
2011,0.421099581,0.294117647,Abramovich,642507000,290
2012,0.38039821,0.312007874,Abramovich,597131000,317
2013,0.431022639,0.305232558,Abramovich,746606000,315
2014,0.373942767,0.311676083,Abramovich,706969000,331
2015,0.397738113,0.29703916,Abramovich,805522000,311
