year,country,value
2013,Canada,8
2018,Canada,8.1
2013,France,7.05
2018,France,7.25
2013,Germany,7.25
2018,Germany,7.4
2013,Italy,6.7
2018,Italy,7.07
2013,UK,7.28
2018,UK,7.6
