country,value
Turkey,70.33
Colombia,23.3
Egypt,19.7
Russia,17.99
Hungary,13.4
Mexico,12.99
Global,12.6
Brazil,11.61
Poland,9.2
Chile,8.4
Czech Rep.,7.7
