date,metric,value,,
2019-01-01,Wholesale/retale + hotels/restaurants,2.6,,
2019-02-01,Wholesale/retale + hotels/restaurants,1.8,,
2019-03-01,Wholesale/retale + hotels/restaurants,1.4,,
2019-04-01,Wholesale/retale + hotels/restaurants,1,,
2019-05-01,Wholesale/retale + hotels/restaurants,2.3,,
2019-06-01,Wholesale/retale + hotels/restaurants,2.7,,
2019-07-01,Wholesale/retale + hotels/restaurants,3.1,,
2019-08-01,Wholesale/retale + hotels/restaurants,3,,
2019-09-01,Wholesale/retale + hotels/restaurants,2.2,,
2019-10-01,Wholesale/retale + hotels/restaurants,1.8,,
2019-11-01,Wholesale/retale + hotels/restaurants,1,,
2019-12-01,Wholesale/retale + hotels/restaurants,2.1,,
2020-01-01,Wholesale/retale + hotels/restaurants,2.1,,
2020-02-01,Wholesale/retale + hotels/restaurants,2.2,,
2020-03-01,Wholesale/retale + hotels/restaurants,-0.7,,
2020-04-01,Wholesale/retale + hotels/restaurants,-3.6,,
2020-05-01,Wholesale/retale + hotels/restaurants,-5.4,,
2020-06-01,Wholesale/retale + hotels/restaurants,-4.5,,
2020-07-01,Wholesale/retale + hotels/restaurants,-2.1,,
2020-08-01,Wholesale/retale + hotels/restaurants,-0.5,,
2020-09-01,Wholesale/retale + hotels/restaurants,1.6,,
2020-10-01,Wholesale/retale + hotels/restaurants,2.9,,
2020-11-01,Wholesale/retale + hotels/restaurants,4.1,,
2020-12-01,Wholesale/retale + hotels/restaurants,3,,
2021-01-01,Wholesale/retale + hotels/restaurants,2.5,,
2021-02-01,Wholesale/retale + hotels/restaurants,1.8,,
2021-03-01,Wholesale/retale + hotels/restaurants,5,,
2021-04-01,Wholesale/retale + hotels/restaurants,8.4,,
2021-05-01,Wholesale/retale + hotels/restaurants,11.3,,
2021-06-01,Wholesale/retale + hotels/restaurants,10.2,,
2021-07-01,Wholesale/retale + hotels/restaurants,7.8,,
2021-08-01,Wholesale/retale + hotels/restaurants,6,,
2021-09-01,Wholesale/retale + hotels/restaurants,4.7,,
2021-10-01,Wholesale/retale + hotels/restaurants,4.6,,
2021-11-01,Wholesale/retale + hotels/restaurants,4.5,,
2021-12-01,Wholesale/retale + hotels/restaurants,6,,
2022-01-01,Wholesale/retale + hotels/restaurants,6.5,,
2022-02-01,Wholesale/retale + hotels/restaurants,8.7,,
2022-03-01,Wholesale/retale + hotels/restaurants,8.4,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
