year,region,value
Feb-22,UK,5.69
Mar-22,UK,6.66
Apr-22,UK,6.77
Feb-22,United States,7.87
Mar-22,United States,8.54
Apr-22,United States,8.26
Feb-22,China,6.14
Mar-22,China,7.04
Apr-22,China,8.99
Feb-22,Russia,8.74
Mar-22,Russia,9.16
Apr-22,Russia,16.70
Feb-22,Japan,0.5
Mar-22,Japan,0.9
Apr-22,Japan,1.2
Feb-22,G20,6.49
Mar-22,G20,6.80
Apr-22,G20,7.90
Feb-22,Canada,3.30
Mar-22,Canada,4.20
Apr-22,Canada,5.10
