Journal,Year,Value,Detail
JEEM,91,0,Number of envionemental articles 
JAERE,91,0,Environmental journals
EcolE,91,0,
JEEM,92,0,
JAERE,92,0,
EcolE,92,0,
JEEM,93,1,
JAERE,93,0,
EcolE,93,0,
JEEM,94,2,
JAERE,94,0,
EcolE,94,2,
JEEM,95,3,
JAERE,95,0,
EcolE,95,7,
JEEM,96,1,
JAERE,96,0,
EcolE,96,11,
JEEM,97,4,
JAERE,97,0,
EcolE,97,7,
JEEM,98,1,
JAERE,98,0,
EcolE,98,5,
JEEM,99,2,
JAERE,99,0,
EcolE,99,9,
JEEM,00,2,
JAERE,00,0,
EcolE,00,10,
JEEM,01,1,
JAERE,01,0,
EcolE,01,17,
JEEM,02,6,
JAERE,02,0,
EcolE,02,12,
JEEM,03,8,
JAERE,03,0,
EcolE,03,11,
JEEM,04,6,
JAERE,04,0,
EcolE,04,14,
JEEM,05,6,
JAERE,05,0,
EcolE,05,28,
JEEM,06,7,
JAERE,06,0,
EcolE,06,31,
JEEM,07,2,
JAERE,07,0,
EcolE,07,47,
JEEM,08,6,
JAERE,08,0,
EcolE,08,46,
JEEM,09,7,
JAERE,09,0,
EcolE,09,57,
JEEM,10,12,
JAERE,10,0,
EcolE,10,61,
JEEM,11,12,
JAERE,11,0,
EcolE,11,51,
JEEM,12,19,
JAERE,12,0,
EcolE,12,44,
JEEM,13,17,
JAERE,13,0,
EcolE,13,65,
JEEM,14,20,
JAERE,14,10,
EcolE,14,64,
JEEM,15,14,
JAERE,15,8,
EcolE,15,76,
JEEM,16,16,
JAERE,16,13,
EcolE,16,58,
JEEM,17,24,
JAERE,17,11,
EcolE,17,86,
JEEM,18,47,
JAERE,18,8,
EcolE,18,118,
JEEM,19,31,
JAERE,19,20,
EcolE,19,102,
JEEM,20,23,
JAERE,20,12,
EcolE,20,82,
JEEM,21,6,
JAERE,21,10,
EcolE,21,76,
