Month,National Loan,Current price
1930m12,Second,104.25
1931m1,Second,105.5
1931m2,Second,105.375
1931m3,Second,104.375
1931m4,Second,105.875
1931m5,Second,107.75
1931m6,Second,108.875
1931m7,Second,104.625
1931m8,Second,104.3125
1931m9,Second,103.5
1931m10,Second,103.875
1931m11,Second,103
1931m12,Second,100.75
1932m1,Second,102
1932m2,Second,103
1932m3,Second,100.25
1932m4,Second,101.25
1932m5,Second,103.375
1932m6,Second,103.5
1932m7,Second,109.25
1932m8,Second,107.5
1932m9,Second,108.5
1932m10,Second,111.75
1932m11,Second,111.875
1932m12,Second,111.375
1933m1,Second,113.25
1933m2,Second,115.25
1933m3,Second,114.25
1933m4,Second,115
1933m5,Second,112.5
1933m6,Second,114.25
1933m7,Second,113
1933m8,Second,112.375
1933m9,Second,111
1933m10,Second,112
1933m11,Second,111
1933m12,Second,112.75
1934m1,Second,112
1934m2,Second,112.5
1934m3,Second,110
1934m4,Second,111.5
1934m5,Second,111.25
1934m6,Second,112.5
1934m7,Second,112.5
1934m8,Second,112.75
1934m9,Second,110.5
1934m10,Second,113
1934m11,Second,113
1934m12,Second,113.4375
1935m1,Second,114.5
1935m2,Second,115
1935m3,Second,113.625
1935m4,Second,114.5
1935m5,Second,115.5
1935m6,Second,116.5
1935m7,Second,116.625
1935m8,Second,116.75
1935m9,Second,111.5
1935m10,Second,112
1935m11,Second,113
1935m12,Second,113
1936m1,Second,115
1936m2,Second,116.5
1936m3,Second,113.125
1936m4,Second,115
1936m5,Second,115.375
1936m6,Second,115
1936m7,Second,115
1936m8,Second,116
1936m9,Second,115.375
1936m10,Second,116
1936m11,Second,117.75
1936m12,Second,116.375
1937m1,Second,116.75
1937m2,Second,116.25
1937m3,Second,113.25
1937m4,Second,115
1937m5,Second,114.5
1937m6,Second,113.5
1937m7,Second,113.5
1937m8,Second,113.875
1937m9,Second,113.75
1937m10,Second,113.375
1937m11,Second,113
1937m12,Second,113
1938m1,Second,114
1938m2,Second,115
1938m3,Second,113.25
1938m4,Second,113.25
1938m5,Second,113.125
1938m6,Second,113
