Date,Country,"GDP Index, 2019 = 100"
2010-01-01,UK,83
2010-02-01,UK,84
2010-03-01,UK,85
2010-04-01,UK,85
2010-05-01,UK,85
2010-06-01,UK,85
2010-07-01,UK,85
2010-08-01,UK,86
2010-09-01,UK,86
2010-10-01,UK,86
2010-11-01,UK,86
2010-12-01,UK,85
2011-01-01,UK,86
2011-02-01,UK,86
2011-03-01,UK,86
2011-04-01,UK,86
2011-05-01,UK,86
2011-06-01,UK,86
2011-07-01,UK,87
2011-08-01,UK,86
2011-09-01,UK,86
2011-10-01,UK,86
2011-11-01,UK,87
2011-12-01,UK,87
2012-01-01,UK,87
2012-02-01,UK,87
2012-03-01,UK,87
2012-04-01,UK,87
2012-05-01,UK,88
2012-06-01,UK,86
2012-07-01,UK,88
2012-08-01,UK,88
2012-09-01,UK,88
2012-10-01,UK,88
2012-11-01,UK,88
2012-12-01,UK,88
2013-01-01,UK,88
2013-02-01,UK,89
2013-03-01,UK,89
2013-04-01,UK,89
2013-05-01,UK,89
2013-06-01,UK,89
2013-07-01,UK,90
2013-08-01,UK,90
2013-09-01,UK,90
2013-10-01,UK,90
2013-11-01,UK,91
2013-12-01,UK,90
2014-01-01,UK,91
2014-02-01,UK,91
2014-03-01,UK,92
2014-04-01,UK,92
2014-05-01,UK,92
2014-06-01,UK,92
2014-07-01,UK,92
2014-08-01,UK,92
2014-09-01,UK,92
2014-10-01,UK,93
2014-11-01,UK,93
2014-12-01,UK,93
2015-01-01,UK,93
2015-02-01,UK,93
2015-03-01,UK,93
2015-04-01,UK,94
2015-05-01,UK,94
2015-06-01,UK,94
2015-07-01,UK,94
2015-08-01,UK,94
2015-09-01,UK,94
2015-10-01,UK,95
2015-11-01,UK,95
2015-12-01,UK,95
2016-01-01,UK,95
2016-02-01,UK,95
2016-03-01,UK,95
2016-04-01,UK,96
2016-05-01,UK,95
2016-06-01,UK,95
2016-07-01,UK,96
2016-08-01,UK,96
2016-09-01,UK,96
2016-10-01,UK,96
2016-11-01,UK,96
2016-12-01,UK,97
2017-01-01,UK,97
2017-02-01,UK,97
2017-03-01,UK,97
2017-04-01,UK,97
2017-05-01,UK,97
2017-06-01,UK,97
2017-07-01,UK,97
2017-08-01,UK,97
2017-09-01,UK,98
2017-10-01,UK,98
2017-11-01,UK,98
2017-12-01,UK,98
2018-01-01,UK,98
2018-02-01,UK,98
2018-03-01,UK,98
2018-04-01,UK,98
2018-05-01,UK,98
2018-06-01,UK,99
2018-07-01,UK,99
2018-08-01,UK,99
2018-09-01,UK,99
2018-10-01,UK,99
2018-11-01,UK,99
2018-12-01,UK,99
2019-01-01,UK,100
2019-02-01,UK,100
2019-03-01,UK,100
2019-04-01,UK,100
2019-05-01,UK,100
2019-06-01,UK,100
2019-07-01,UK,100
2019-08-01,UK,100
2019-09-01,UK,100
2019-10-01,UK,100
2019-11-01,UK,100
2019-12-01,UK,100
2020-01-01,UK,100
2020-02-01,UK,100
2020-03-01,UK,92
2020-04-01,UK,75
2020-05-01,UK,77
2020-06-01,UK,85
2020-07-01,UK,90
2020-08-01,UK,92
2010-01-01,Scotland,89
2010-02-01,Scotland,90
2010-03-01,Scotland,90
2010-04-01,Scotland,91
2010-05-01,Scotland,90
2010-06-01,Scotland,91
2010-07-01,Scotland,91
2010-08-01,Scotland,91
2010-09-01,Scotland,91
2010-10-01,Scotland,91
2010-11-01,Scotland,91
2010-12-01,Scotland,90
2011-01-01,Scotland,91
2011-02-01,Scotland,91
2011-03-01,Scotland,91
2011-04-01,Scotland,91
2011-05-01,Scotland,91
2011-06-01,Scotland,91
2011-07-01,Scotland,91
2011-08-01,Scotland,91
2011-09-01,Scotland,91
2011-10-01,Scotland,91
2011-11-01,Scotland,92
2011-12-01,Scotland,92
2012-01-01,Scotland,91
2012-02-01,Scotland,91
2012-03-01,Scotland,91
2012-04-01,Scotland,91
2012-05-01,Scotland,92
2012-06-01,Scotland,91
2012-07-01,Scotland,91
2012-08-01,Scotland,92
2012-09-01,Scotland,91
2012-10-01,Scotland,92
2012-11-01,Scotland,93
2012-12-01,Scotland,92
2013-01-01,Scotland,92
2013-02-01,Scotland,93
2013-03-01,Scotland,93
2013-04-01,Scotland,93
2013-05-01,Scotland,93
2013-06-01,Scotland,94
2013-07-01,Scotland,93
2013-08-01,Scotland,93
2013-09-01,Scotland,94
2013-10-01,Scotland,94
2013-11-01,Scotland,93
2013-12-01,Scotland,95
2014-01-01,Scotland,95
2014-02-01,Scotland,94
2014-03-01,Scotland,94
2014-04-01,Scotland,95
2014-05-01,Scotland,95
2014-06-01,Scotland,95
2014-07-01,Scotland,96
2014-08-01,Scotland,95
2014-09-01,Scotland,96
2014-10-01,Scotland,96
2014-11-01,Scotland,96
2014-12-01,Scotland,96
2015-01-01,Scotland,96
2015-02-01,Scotland,96
2015-03-01,Scotland,96
2015-04-01,Scotland,96
2015-05-01,Scotland,95
2015-06-01,Scotland,96
2015-07-01,Scotland,96
2015-08-01,Scotland,95
2015-09-01,Scotland,95
2015-10-01,Scotland,96
2015-11-01,Scotland,96
2015-12-01,Scotland,96
2016-01-01,Scotland,95
2016-02-01,Scotland,96
2016-03-01,Scotland,96
2016-04-01,Scotland,96
2016-05-01,Scotland,96
2016-06-01,Scotland,97
2016-07-01,Scotland,96
2016-08-01,Scotland,97
2016-09-01,Scotland,97
2016-10-01,Scotland,97
2016-11-01,Scotland,97
2016-12-01,Scotland,97
2017-01-01,Scotland,97
2017-02-01,Scotland,97
2017-03-01,Scotland,98
2017-04-01,Scotland,97
2017-05-01,Scotland,98
2017-06-01,Scotland,98
2017-07-01,Scotland,97
2017-08-01,Scotland,98
2017-09-01,Scotland,97
2017-10-01,Scotland,98
2017-11-01,Scotland,98
2017-12-01,Scotland,98
2018-01-01,Scotland,99
2018-02-01,Scotland,99
2018-03-01,Scotland,99
2018-04-01,Scotland,99
2018-05-01,Scotland,99
2018-06-01,Scotland,100
2018-07-01,Scotland,99
2018-08-01,Scotland,99
2018-09-01,Scotland,100
2018-10-01,Scotland,100
2018-11-01,Scotland,100
2018-12-01,Scotland,99
2019-01-01,Scotland,100
2019-02-01,Scotland,100
2019-03-01,Scotland,100
2019-04-01,Scotland,100
2019-05-01,Scotland,100
2019-06-01,Scotland,99
2019-07-01,Scotland,100
2019-08-01,Scotland,100
2019-09-01,Scotland,100
2019-10-01,Scotland,101
2019-11-01,Scotland,100
2019-12-01,Scotland,100
2020-01-01,Scotland,99
2020-02-01,Scotland,99
2020-03-01,Scotland,93
2020-04-01,Scotland,75
2020-05-01,Scotland,77
2020-06-01,Scotland,82
2020-07-01,Scotland,88
2020-08-01,Scotland,91
