Year,Port,Value,Detail
2009,Cardiff,100,"Freight through major Welsh ports, 2009-2020"
2010,Cardiff,112.0481928,Million tonnes
2011,Cardiff,101.6759036,2009=100
2012,Cardiff,91.86802209,
2013,Cardiff,85.9437751,
2014,Cardiff,86.89759036,
2015,Cardiff,89.90963855,
2016,Cardiff,80.52208835,
2017,Cardiff,78.99292169,
2018,Cardiff,88.84849398,
2019,Cardiff,85.19116466,
2020,Cardiff,69.52761044,
2009,Fishguard,100,
2010,Fishguard,113.7068521,
2011,Fishguard,94.07254288,
2012,Fishguard,91.52455825,
2013,Fishguard,93.37676913,
2014,Fishguard,103.328409,
2015,Fishguard,103.1711227,
2016,Fishguard,82.98467277,
2017,Fishguard,103.9212367,
2018,Fishguard,120.838806,
2019,Fishguard,138.004866,
2020,Fishguard,112.4499264,
2009,Holyhead,100,
2010,Holyhead,93.17992898,
2011,Holyhead,110.3830166,
2012,Holyhead,108.237403,
2013,Holyhead,112.6187318,
2014,Holyhead,128.4267149,
2015,Holyhead,156.1858354,
2016,Holyhead,173.2887593,
2017,Holyhead,183.6152256,
2018,Holyhead,183.0766135,
2019,Holyhead,186.7281182,
2020,Holyhead,205.3902229,
2009,Milford Haven,100,
2010,Milford Haven,108.8947718,
2011,Milford Haven,123.9378483,
2012,Milford Haven,101.370826,
2013,Milford Haven,104.6117948,
2014,Milford Haven,87.31711954,
2015,Milford Haven,95.90488659,
2016,Milford Haven,88.48394671,
2017,Milford Haven,81.41332221,
2018,Milford Haven,78.73047738,
2019,Milford Haven,88.95071575,
2020,Milford Haven,85.18305352,
2009,Newport,100,
2010,Newport,75.64643064,
2011,Newport,89.39419211,
2012,Newport,90.13309017,
2013,Newport,89.33204728,
2014,Newport,95.71127488,
2015,Newport,94.05271374,
2016,Newport,100.6392981,
2017,Newport,126.1816297,
2018,Newport,103.1210314,
2019,Newport,94.64775328,
2020,Newport,85.23454828,
2009,Port Talbot,100,
2010,Port Talbot,171.295578,
2011,Port Talbot,136.8502715,
2012,Port Talbot,108.0668735,
2013,Port Talbot,164.4042475,
2014,Port Talbot,183.7857448,
2015,Port Talbot,157.3479441,
2016,Port Talbot,151.2580683,
2017,Port Talbot,147.1833786,
2018,Port Talbot,128.6783165,
2019,Port Talbot,130.2014934,
2020,Port Talbot,129.5858883,
2009,Swansea,100,
2010,Swansea,150.6234414,
2011,Swansea,139.9750623,
2012,Swansea,148.2693267,
2013,Swansea,134.6563591,
2014,Swansea,131.30399,
2015,Swansea,129.1887781,
2016,Swansea,129.7451372,
2017,Swansea,135.0488778,
2018,Swansea,131.7882793,
2019,Swansea,113.5466334,
2020,Swansea,107.2675062,
