region,value1,value2
North East,-7.70,-0.13
North West,-16.52,3.87
Yorkshire and Humbers,-12.55,1.52
East Midlands,-21.75,4.24
West Midlands,-21.15,4.76
East of England,-6.60,2.91
London,-12.66,3.95
South East,-12.79,3.38
South West,-15.10,3.75
Wales,-2.36,2.93
Scotland,-12.67,2.61
Northern Ireland,-30.42,4.35
