date,value1,value2
2000,1,5.44
2001,1.8,5.37
2002,2.6,5.33
2003,3.2,5.33
2004,3.3,5.32
2005,5.4,5.12
2006,5,5.05
2007,5.3,5.05
2008,3.6,5.27
2009,5.2,7.79
2010,5.4,7.94
2011,3.7,7.97
2012,2.7,7.99
2013,2.3,7.99
2014,1.3,11.89
2015,3,21.84
2016,3.2,25.55
2017,3.2,26.6
2018,3.1,27.2
2019,3.5,25.85
2020,4.9,26.96
2021,3.6,27.29
