date,value
1921,152.3
1922,174.6
1923,187.5
1924,183.6
1925,177.1
1926,179.8
1927,174.3
1928,171.5
1929,168.7
1930,169.4
1931,178.4
1932,186.1
1933,189.8
1934,185.9
1935,174.9
1936,165.9
1937,155.7
1938,154.2
1939,147.5
1940,136.7
1941,144
1942,158.5
1943,176.7
1944,200.8
1945,233.4
1946,246.8
1947,251.8
1948,230.2
1949,210.8
1950,205
1951,185.7
1952,169.5
1953,158.5
1954,152.7
1955,143.3
1956,132.5
1957,123.9
1958,118.4
1959,114.3
1960,107.6
1961,102.5
1962,99.5
1963,98.3
1964,90.7
1965,84.2
1966,80.9
1967,77.7
1968,77
1969,69.8
1970,61.1
1971,54.7
1972,52.6
1973,46.6
1974,45.2
1975,47.8
1976,49.4
1977,47.8
1978,44.4
1979,42.2
1980,39.1
1981,40.4
1982,40.1
1983,38.7
1984,38.9
1985,38.7
1986,37.1
1987,34.8
1988,31
1989,25.6
1990,23.1
1991,21.7
1992,22.9
1993,26.7
1994,31.2
1995,34.6
1996,36.1
1997,36.7
1998,35.6
1999,33.8
2000,31.2
2001,27.1
2002,26.7
2003,28
2004,29.1
2005,31.6
2006,32.5
2007,33.3
2008,34
2009,48.4
2010,62.4
2011,68.8
2012,72.3
2013,75.7
2014,77.5
2015,79.8
2016,79.1
2017,81.5
2018,80.6
2019,78.4
2020,82.8
2021,93.9
2022,96.2
