Date,Age group,Value (%),Detail
Apr-20,18-59,1.972746,US
May-20,18-59,2.181911,
Jun-20,18-59,3.025259,
Jul-20,18-59,3.247269,
Sep-20,18-59,2.763219,
Oct-20,18-59,3.370878,
Dec-20,18-59,3.720056,
Jan-21,18-59,3.069968,
Mar-21,18-59,3.378068,
Apr-20,60+,1.454598,
May-20,60+,1.789929,
Jun-20,60+,2.501183,
Jul-20,60+,2.143995,
Sep-20,60+,2.736231,
Oct-20,60+,2.546757,
Dec-20,60+,2.909123,
Jan-21,60+,2.247809,
Mar-21,60+,3.052132,
