date,country,value
2000,Algeria,75.19592045
2001,Algeria,71.36111354
2002,Algeria,66.06701341
2003,Algeria,66.34402755
2004,Algeria,53.01731814
2005,Algeria,47.4358107
2006,Algeria,39.28605271
2007,Algeria,36.79301472
2008,Algeria,33.66214243
2009,Algeria,29.98597861
2010,Algeria,21.46477355
2011,Algeria,18.45556435
2012,Algeria,20.25797543
2013,Algeria,26.19548885
2014,Algeria,28.18695677
2015,Algeria,23.82807113
2016,Algeria,25.56385205
2017,Algeria,21.35940269
2018,Algeria,16.7406105
2019,Algeria,12.87903739
2020,Algeria,12.1163563
2000,Nigeria,16.58553369
2001,Nigeria,19.22956386
2002,Nigeria,19.20239247
2003,Nigeria,25.15611229
2004,Nigeria,30.70768496
2005,Nigeria,25.38125536
2006,Nigeria,25.96514691
2007,Nigeria,31.42586956
2008,Nigeria,27.57041278
2009,Nigeria,14.6808828
2010,Nigeria,17.68789184
2011,Nigeria,17.25104296
2012,Nigeria,17.18784106
2013,Nigeria,13.74865244
2014,Nigeria,11.43551835
2015,Nigeria,13.82924785
2016,Nigeria,16.67007539
2017,Nigeria,18.85692421
2018,Nigeria,17.60602253
2019,Nigeria,13.24546766
2020,Nigeria,12.6919798
2000,US,0
2001,US,0
2002,US,0
2003,US,0
2004,US,0
2005,US,0
2006,US,0
2007,US,0
2008,US,0
2009,US,0
2010,US,0.196510929
2011,US,0.15894421
2012,US,0
2013,US,0
2014,US,0
2015,US,0
2016,US,0.873367958
2017,US,3.989404695
2018,US,5.679233649
2019,US,15.28897672
2020,US,22.27591709
2000,Qatar,1.465322132
2001,Qatar,2.841126629
2002,Qatar,4.720438686
2003,Qatar,4.758903746
2004,Qatar,10.03914761
2005,Qatar,9.820669118
2006,Qatar,11.16670281
2007,Qatar,13.49642687
2008,Qatar,13.81767771
2009,Qatar,28.29375036
2010,Qatar,41.59436799
2011,Qatar,46.97214878
2012,Qatar,45.02234021
2013,Qatar,45.35526952
2014,Qatar,44.99615322
2015,Qatar,50.56091226
2016,Qatar,42.1838738
2017,Qatar,36.7953616
2018,Qatar,31.83273608
2019,Qatar,26.37853862
2020,Qatar,26.31946595
2000,Rest of World,6.753223737
2001,Rest of World,6.568195971
2002,Rest of World,10.01015543
2003,Rest of World,3.74095642
2004,Rest of World,6.235849281
2005,Rest of World,17.36226482
2006,Rest of World,23.58209757
2007,Rest of World,18.28468886
2008,Rest of World,24.94976709
2009,Rest of World,27.03938823
2010,Rest of World,19.05645569
2011,Rest of World,17.16229969
2012,Rest of World,17.53184329
2013,Rest of World,14.70058918
2014,Rest of World,15.38137166
2015,Rest of World,11.78176876
2016,Rest of World,14.70883079
2017,Rest of World,18.9989068
2018,Rest of World,28.14139724
2019,Rest of World,32.20797961
2020,Rest of World,26.59628087
