date,index,value
2021-04-01,"Electricity, gas and other fuels",2.4
2021-05-01,"Electricity, gas and other fuels",2.6
2021-06-01,"Electricity, gas and other fuels",2.5
2021-07-01,"Electricity, gas and other fuels",2.6
2021-08-01,"Electricity, gas and other fuels",2.6
2021-09-01,"Electricity, gas and other fuels",2.8
2021-10-01,"Electricity, gas and other fuels",22.9
2021-11-01,"Electricity, gas and other fuels",23.2
2021-12-01,"Electricity, gas and other fuels",22.7
2022-01-01,"Electricity, gas and other fuels",22.9
2022-02-01,"Electricity, gas and other fuels",23.1
2022-03-01,"Electricity, gas and other fuels",24.8
2022-04-01,"Electricity, gas and other fuels",69.6
2021-04-01,Fuels and lubricants,13.6
2021-05-01,Fuels and lubricants,17.9
2021-06-01,Fuels and lubricants,20.3
2021-07-01,Fuels and lubricants,17.7
2021-08-01,Fuels and lubricants,17.7
2021-09-01,Fuels and lubricants,17.8
2021-10-01,Fuels and lubricants,21.5
2021-11-01,Fuels and lubricants,28.5
2021-12-01,Fuels and lubricants,26.8
2022-01-01,Fuels and lubricants,23.6
2022-02-01,Fuels and lubricants,22.3
2022-03-01,Fuels and lubricants,30.7
2022-04-01,Fuels and lubricants,31.4
