date,region,value
2005-01-01,North East,111474
2005-02-01,North East,110454
2005-03-01,North East,112596
2005-04-01,North East,115579
2005-05-01,North East,117007
2005-06-01,North East,118615
2005-07-01,North East,121318
2005-08-01,North East,123066
2005-09-01,North East,121255
2005-10-01,North East,121647
2005-11-01,North East,123245
2005-12-01,North East,123089
2006-01-01,North East,123039
2006-02-01,North East,121124
2006-03-01,North East,123786
2006-04-01,North East,126215
2006-05-01,North East,126767
2006-06-01,North East,129083
2006-07-01,North East,130283
2006-08-01,North East,129962
2006-09-01,North East,131628
2006-10-01,North East,131788
2006-11-01,North East,130774
2006-12-01,North East,134036
2007-01-01,North East,132508
2007-02-01,North East,131175
2007-03-01,North East,132120
2007-04-01,North East,135047
2007-05-01,North East,135645
2007-06-01,North East,137655
2007-07-01,North East,139400
2007-08-01,North East,138535
2007-09-01,North East,138306
2007-10-01,North East,137946
2007-11-01,North East,138832
2007-12-01,North East,138507
2008-01-01,North East,135418
2008-02-01,North East,135027
2008-03-01,North East,133568
2008-04-01,North East,135960
2008-05-01,North East,137087
2008-06-01,North East,135464
2008-07-01,North East,132306
2008-08-01,North East,131545
2008-09-01,North East,126926
2008-10-01,North East,124448
2008-11-01,North East,123884
2008-12-01,North East,120275
2009-01-01,North East,118710
2009-02-01,North East,117221
2009-03-01,North East,117079
2009-04-01,North East,118270
2009-05-01,North East,119532
2009-06-01,North East,120823
2009-07-01,North East,120952
2009-08-01,North East,122676
2009-09-01,North East,123725
2009-10-01,North East,123135
2009-11-01,North East,124131
2009-12-01,North East,125208
2010-01-01,North East,119947
2010-02-01,North East,121984
2010-03-01,North East,123110
2010-04-01,North East,123415
2010-05-01,North East,122873
2010-06-01,North East,123620
2010-07-01,North East,123348
2010-08-01,North East,126174
2010-09-01,North East,122224
2010-10-01,North East,124799
2010-11-01,North East,120265
2010-12-01,North East,119688
2011-01-01,North East,117111
2011-02-01,North East,116809
2011-03-01,North East,115711
2011-04-01,North East,119438
2011-05-01,North East,119979
2011-06-01,North East,119671
2011-07-01,North East,117616
2011-08-01,North East,116961
2011-09-01,North East,117236
2011-10-01,North East,116238
2011-11-01,North East,117028
2011-12-01,North East,115328
2012-01-01,North East,113011
2012-02-01,North East,113852
2012-03-01,North East,116622
2012-04-01,North East,116031
2012-05-01,North East,115601
2012-06-01,North East,117444
2012-07-01,North East,117137
2012-08-01,North East,119749
2012-09-01,North East,118194
2012-10-01,North East,116854
2012-11-01,North East,116777
2012-12-01,North East,114860
2013-01-01,North East,113585
2013-02-01,North East,112008
2013-03-01,North East,115161
2013-04-01,North East,115330
2013-05-01,North East,115849
2013-06-01,North East,115645
2013-07-01,North East,118564
2013-08-01,North East,120219
2013-09-01,North East,119140
2013-10-01,North East,112868
2013-11-01,North East,116456
2013-12-01,North East,116274
2014-01-01,North East,114531
2014-02-01,North East,114784
2014-03-01,North East,116317
2014-04-01,North East,118315
2014-05-01,North East,118613
2014-06-01,North East,121217
2014-07-01,North East,121279
2014-08-01,North East,121329
2014-09-01,North East,120251
2014-10-01,North East,118619
2014-11-01,North East,118778
2014-12-01,North East,118798
2015-01-01,North East,117156
2015-02-01,North East,118525
2015-03-01,North East,117578
2015-04-01,North East,121598
2015-05-01,North East,120610
2015-06-01,North East,122584
2015-07-01,North East,122669
2015-08-01,North East,123621
2015-09-01,North East,123304
2015-10-01,North East,121513
2015-11-01,North East,123032
2015-12-01,North East,123597
2016-01-01,North East,121096
2016-02-01,North East,121085
2016-03-01,North East,122837
2016-04-01,North East,122481
2016-05-01,North East,124696
2016-06-01,North East,126898
2016-07-01,North East,127710
2016-08-01,North East,126116
2016-09-01,North East,124781
2016-10-01,North East,124213
2016-11-01,North East,124910
2016-12-01,North East,126333
2017-01-01,North East,122055
2017-02-01,North East,124088
2017-03-01,North East,121858
2017-04-01,North East,124897
2017-05-01,North East,127074
2017-06-01,North East,128096
2017-07-01,North East,127983
2017-08-01,North East,129738
2017-09-01,North East,127527
2017-10-01,North East,128590
2017-11-01,North East,127126
2017-12-01,North East,130118
2018-01-01,North East,124169
2018-02-01,North East,126444
2018-03-01,North East,124038
2018-04-01,North East,128330
2018-05-01,North East,128840
2018-06-01,North East,128049
2018-07-01,North East,131245
2018-08-01,North East,130376
2018-09-01,North East,130223
2018-10-01,North East,130759
2018-11-01,North East,128894
2018-12-01,North East,128696
2019-01-01,North East,125448
2019-02-01,North East,124533
2019-03-01,North East,124666
2019-04-01,North East,128863
2019-05-01,North East,128851
2019-06-01,North East,129511
2019-07-01,North East,129844
2019-08-01,North East,131440
2019-09-01,North East,131917
2019-10-01,North East,129316
2019-11-01,North East,129493
2019-12-01,North East,129310
2020-01-01,North East,127346
2020-02-01,North East,126993
2020-03-01,North East,128306
2020-04-01,North East,123222
2020-05-01,North East,127999
2020-06-01,North East,129666
2020-07-01,North East,130778
2020-08-01,North East,131543
2020-09-01,North East,134794
2020-10-01,North East,134715
2020-11-01,North East,137358
2020-12-01,North East,138918
2021-01-01,North East,139327
2021-02-01,North East,139768
2021-03-01,North East,142783
2021-04-01,North East,140002
2021-05-01,North East,140444
2021-06-01,North East,152293
2021-07-01,North East,139729
2021-08-01,North East,145212
2021-09-01,North East,155887
2021-10-01,North East,146642
2021-11-01,North East,149249
2005-01-01,North West,118939
2005-02-01,North West,117630
2005-03-01,North West,120919
2005-04-01,North West,123118
2005-05-01,North West,125769
2005-06-01,North West,127557
2005-07-01,North West,128994
2005-08-01,North West,130263
2005-09-01,North West,130291
2005-10-01,North West,129915
2005-11-01,North West,130312
2005-12-01,North West,132554
2006-01-01,North West,130144
2006-02-01,North West,131609
2006-03-01,North West,131139
2006-04-01,North West,135797
2006-05-01,North West,136328
2006-06-01,North West,138412
