Region,Change in youth unemployment,UK 2020
East,3.1,2
East Midlands,3.7,2
London,3,2
North East,0.3,2
North West,-1.2,2
Northern Ireland,-2.2,2
Scotland,5.2,2
South East,3.2,2
South West,4.7,2
Wales,-1.1,2
West Midlands,1.7,2
Yorkshire and the Humber,-2.3,2
