Date,Share price ($),Volume traded (millions)
2020-01-29,4.13,1.5526
2020-01-30,3.93,3.0065
2020-01-31,3.84,2.8917
2020-02-03,3.95,2.0262
2020-02-04,4.07,3.5631
2020-02-05,4.18,2.6417
2020-02-06,4.14,1.5103
2020-02-07,3.81,2.7423
2020-02-10,3.94,2.777
2020-02-11,4.02,3.415
2020-02-12,4.19,4.8206
2020-02-13,4.11,2.0817
2020-02-14,4.02,1.5827
2020-02-18,4.06,1.4676
2020-02-19,4.15,2.5931
2020-02-20,4.14,1.5623
2020-02-21,4.04,1.6957
2020-02-24,3.7,3.5663
2020-02-25,3.56,4.4479
2020-02-26,3.39,4.7248
2020-02-27,3.47,3.8795
2020-02-28,3.6,4.6922
2020-03-02,3.83,3.2084
2020-03-03,3.63,4.2825
2020-03-04,3.77,4.2576
2020-03-05,3.96,3.5994
2020-03-06,3.92,2.0968
2020-03-09,3.7,2.732
2020-03-10,4.23,4.8632
2020-03-11,4.14,4.4141
2020-03-12,3.98,5.1234
2020-03-13,4.59,5.7872
2020-03-16,4.37,4.8667
2020-03-17,4.23,3.5622
2020-03-18,3.77,3.6517
2020-03-19,4.19,5.0395
2020-03-20,3.76,7.7222
2020-03-23,3.81,6.0098
2020-03-24,4.16,6.8056
2020-03-25,4.17,3.5921
2020-03-26,4.41,6.1857
2020-03-27,4.22,7.0248
2020-03-30,3.65,3.3506
2020-03-31,3.5,2.3009
2020-04-01,3.25,4.5687
2020-04-02,2.85,4.0643
2020-04-03,2.8,3.8304
2020-04-06,3.09,3.3405
2020-04-07,3.27,2.8369
2020-04-08,3.41,2.8845
2020-04-09,3.89,5.9086
2020-04-13,4.74,6.8445
2020-04-14,5.95,13.5066
2020-04-15,5.27,7.4999
2020-04-16,5.03,3.3719
2020-04-17,4.88,5.6532
2020-04-20,5.61,6.085
2020-04-21,4.78,4.1421
2020-04-22,4.89,2.6778
2020-04-23,4.7,2.2659
2020-04-24,4.77,2.2362
2020-04-27,5.82,7.2751
2020-04-28,5.64,5.2002
2020-04-29,6.04,3.3696
2020-04-30,5.73,2.1733
2020-05-01,6.05,4.0056
2020-05-04,5.48,4.0681
2020-05-05,5.39,2.1059
2020-05-06,4.93,3.3696
2020-05-07,4.87,2.5008
2020-05-08,4.98,2.3537
2020-05-11,4.76,1.6992
2020-05-12,4.54,2.6392
2020-05-13,4.21,2.8829
2020-05-14,4.13,2.0049
2020-05-15,4.22,1.9406
2020-05-18,4.58,2.3717
2020-05-19,4.44,1.8407
2020-05-20,4.43,2.5436
2020-05-21,4.44,1.9719
2020-05-22,4.18,2.3799
2020-05-26,4.42,3.5457
2020-05-27,4.69,3.1466
2020-05-28,4.33,2.1839
2020-05-29,4.06,3.9735
2020-06-01,4.13,2.6116
2020-06-02,4.18,2.3694
2020-06-03,4.44,3.0374
2020-06-04,4.47,3.5143
2020-06-05,4.14,6.2744
2020-06-08,5.01,10.1337
2020-06-09,4.96,8.0734
2020-06-10,5.07,10.6064
2020-06-11,4.37,6.236
2020-06-12,4.72,4.3782
2020-06-15,4.69,3.909
2020-06-16,4.64,3.1213
2020-06-17,4.76,3.5935
2020-06-18,4.95,3.4238
2020-06-19,4.88,7.3666
2020-06-22,4.87,3.1789
2020-06-23,4.83,3.2054
2020-06-24,4.41,2.9762
2020-06-25,4.46,2.4508
2020-06-26,4.35,3.8012
2020-06-29,4.38,2.1312
2020-06-30,4.34,3.889
2020-07-01,4.44,2.3037
2020-07-02,4.29,1.8876
2020-07-06,4.24,2.1409
2020-07-07,4.09,2.4566
2020-07-08,4.26,2.0528
2020-07-09,4.21,1.9926
2020-07-10,4.34,1.4108
2020-07-13,4.26,4.2162
2020-07-14,4.08,2.2616
2020-07-15,4.19,1.4741
2020-07-16,4.17,1.3301
2020-07-17,3.96,3.0659
2020-07-20,3.85,3.4011
2020-07-21,4.01,3.341
2020-07-22,4.11,2.5235
2020-07-23,4.11,3.2372
2020-07-24,4.03,2.2159
2020-07-27,4.01,2.4727
2020-07-28,3.94,4.5554
2020-07-29,4.06,2.8796
2020-07-30,4.1,2.3985
2020-07-31,4.01,1.8794
2020-08-03,4.15,2.5176
2020-08-04,4.43,10.3614
2020-08-05,4.63,4.9257
2020-08-06,4.43,1.9012
2020-08-07,4.16,3.3411
2020-08-10,4.33,4.5618
2020-08-11,4.35,3.1388
2020-08-12,4.52,3.0576
2020-08-13,4.64,2.1283
2020-08-14,4.75,3.4744
2020-08-17,4.63,2.371
2020-08-18,4.81,3.8344
2020-08-19,4.72,2.6126
2020-08-20,4.61,2.4412
2020-08-21,5.03,10.6426
2020-08-24,4.87,4.5854
2020-08-25,4.98,2.9987
2020-08-26,5.11,2.7797
2020-08-27,5.25,3.3844
2020-08-28,5.39,4.2369
2020-08-31,6.68,37.976
2020-09-01,7.65,23.211
2020-09-02,7.71,13.0111
2020-09-03,7.82,14.3445
2020-09-04,7.65,7.662
2020-09-08,7.7,9.8166
2020-09-09,7.35,9.0681
