period,tax,value
2016-17,Revenue,16322.38
2017-18,Revenue,20986.70
2018-19,Revenue,28439.07
2019-20,Revenue,24030.19
2020-21,Revenue,15248.67
2016-17,Contributions,-31.00
2017-18,Contributions,1225.00
2018-19,Contributions,1123.00
2019-20,Contributions,575.00
2020-21,Contributions,450.00
