date,index,value
2012-03-01,CPIH,3.1
2012-04-01,CPIH,2.8
2012-05-01,CPIH,2.5
2012-06-01,CPIH,2.3
2012-07-01,CPIH,2.4
2012-08-01,CPIH,2.3
2012-09-01,CPIH,2.1
2012-10-01,CPIH,2.4
2012-11-01,CPIH,2.4
2012-12-01,CPIH,2.4
2013-01-01,CPIH,2.4
2013-02-01,CPIH,2.5
2013-03-01,CPIH,2.5
2013-04-01,CPIH,2.2
2013-05-01,CPIH,2.4
2013-06-01,CPIH,2.6
2013-07-01,CPIH,2.5
2013-08-01,CPIH,2.4
2013-09-01,CPIH,2.4
2013-10-01,CPIH,2
2013-11-01,CPIH,1.9
2013-12-01,CPIH,1.9
2014-01-01,CPIH,1.8
2014-02-01,CPIH,1.6
2014-03-01,CPIH,1.5
2014-04-01,CPIH,1.7
2014-05-01,CPIH,1.5
2014-06-01,CPIH,1.8
2014-07-01,CPIH,1.6
2014-08-01,CPIH,1.5
2014-09-01,CPIH,1.3
2014-10-01,CPIH,1.3
2014-11-01,CPIH,1.1
2014-12-01,CPIH,0.7
2015-01-01,CPIH,0.5
2015-02-01,CPIH,0.4
2015-03-01,CPIH,0.3
2015-04-01,CPIH,0.3
2015-05-01,CPIH,0.4
2015-06-01,CPIH,0.3
2015-07-01,CPIH,0.5
2015-08-01,CPIH,0.4
2015-09-01,CPIH,0.2
2015-10-01,CPIH,0.2
2015-11-01,CPIH,0.4
2015-12-01,CPIH,0.5
2016-01-01,CPIH,0.6
2016-02-01,CPIH,0.6
2016-03-01,CPIH,0.8
2016-04-01,CPIH,0.7
2016-05-01,CPIH,0.7
2016-06-01,CPIH,0.8
2016-07-01,CPIH,0.9
2016-08-01,CPIH,1
2016-09-01,CPIH,1.3
2016-10-01,CPIH,1.3
2016-11-01,CPIH,1.5
2016-12-01,CPIH,1.8
2017-01-01,CPIH,1.9
2017-02-01,CPIH,2.3
2017-03-01,CPIH,2.3
2017-04-01,CPIH,2.6
2017-05-01,CPIH,2.7
2017-06-01,CPIH,2.6
2017-07-01,CPIH,2.6
2017-08-01,CPIH,2.7
2017-09-01,CPIH,2.8
2017-10-01,CPIH,2.8
2017-11-01,CPIH,2.8
2017-12-01,CPIH,2.7
2018-01-01,CPIH,2.7
2018-02-01,CPIH,2.5
2018-03-01,CPIH,2.3
2018-04-01,CPIH,2.2
2018-05-01,CPIH,2.3
2018-06-01,CPIH,2.3
2018-07-01,CPIH,2.3
2018-08-01,CPIH,2.4
2018-09-01,CPIH,2.2
2018-10-01,CPIH,2.2
2018-11-01,CPIH,2.2
2018-12-01,CPIH,2
2019-01-01,CPIH,1.8
2019-02-01,CPIH,1.8
2019-03-01,CPIH,1.8
2019-04-01,CPIH,2
2019-05-01,CPIH,1.9
2019-06-01,CPIH,1.9
2019-07-01,CPIH,2
2019-08-01,CPIH,1.7
2019-09-01,CPIH,1.7
2019-10-01,CPIH,1.5
2019-11-01,CPIH,1.5
2019-12-01,CPIH,1.4
2020-01-01,CPIH,1.8
2020-02-01,CPIH,1.7
2020-03-01,CPIH,1.5
2020-04-01,CPIH,0.9
