date,value1,value2,value3
2020-11-01,74.654,5.22,21.129
2020-12-01,74.61,5.134,21.256
2021-01-01,74.721,5.035,21.228
2021-02-01,74.725,4.886,21.352
2021-03-01,74.74,4.841,21.381
2021-04-01,74.805,4.839,21.326
2021-05-01,75.072,4.724,21.139
2021-06-01,75.221,4.572,21.102
2021-07-01,75.304,4.451,21.11
2021-08-01,75.427,4.263,21.15
2021-09-01,75.462,4.195,21.178
2021-10-01,75.464,4.083,21.265
2021-11-01,75.516,4.059,21.228
2021-12-01,75.551,3.948,21.287
