region,value
London,285.57
South East,88.84
Scotland,75.19
East,57.78
South West,55.75
North West,54.06
West Midlands,53.97
East Midlands,46.72
Northern Ireland,44.27
Yorkshire and The Humber,43.49
Wales,40.74
North East,40.13
