Date,Category,Inflation,Target
01/05/2020,5-year,1.47,2
01/06/2020,5-year,1.53,2
01/07/2020,5-year,1.6,2
01/08/2020,5-year,1.77,2
01/09/2020,5-year,1.78,2
01/10/2020,5-year,1.85,2
01/11/2020,5-year,1.8,2
01/12/2020,5-year,1.97,2
01/01/2021,5-year,2.06,2
01/02/2021,5-year,2.05,2
01/03/2021,5-year,2.53,2
