Date,Pound to Euro,,
Jan-15,1.3045,,
Feb-15,1.3503,,
Mar-15,1.3825,,
Apr-15,1.3856,,
May-15,1.3852,,
Jun-15,1.3879,,
Jul-15,1.4139,,
Aug-15,1.4004,,
Sep-15,1.3665,,
Oct-15,1.3657,,
Nov-15,1.4168,,
Dec-15,1.3769,,
Jan-16,1.3257,,
Feb-16,1.289,,
Mar-16,1.2809,,
Apr-16,1.2622,,
May-16,1.2846,,
Jun-16,1.2646,,
Jul-16,1.1884,,
Aug-16,1.1687,,
Sep-16,1.1722,,
Oct-16,1.119,,
Nov-16,1.1533,,
Dec-16,1.1838,,
Jan-17,1.1613,,
Feb-17,1.1732,,
Mar-17,1.1548,,
Apr-17,1.1798,,
May-17,1.1696,,
Jun-17,1.1403,,
Jul-17,1.1281,,
Aug-17,1.0974,,
Sep-17,1.1186,,
Oct-17,1.1227,,
Nov-17,1.1259,,
Dec-17,1.133,,
Jan-18,1.1331,,
Feb-18,1.1311,,
Mar-18,1.1328,,
Apr-18,1.1477,,
May-18,1.1397,,
Jun-18,1.1378,,
Jul-18,1.1269,,
Aug-18,1.1157,,
Sep-18,1.1195,,
Oct-18,1.133,,
Nov-18,1.1352,,
Dec-18,1.1128,,
Jan-19,1.1298,,
Feb-19,1.1473,,
Mar-19,1.1653,,
Apr-19,1.1603,,
May-19,1.1479,,
Jun-19,1.1225,,
Jul-19,1.1118,,
Aug-19,1.0925,,
Sep-19,1.1223,,
Oct-19,1.144,,
Nov-19,1.166,,
Dec-19,1.1791,,
Jan-20,1.1779,,
Feb-20,1.1882,,
Mar-20,1.1193,,
Apr-20,1.1419,,
May-20,1.1275,,
Jun-20,1.1123,,
Jul-20,1.1059,,
Aug-20,1.11,,
Sep-20,1.0993,,
Oct-20,1.1032,,
Nov-20,1.1164,,
Dec-20,1.1039,,
