Date,Percentage point
Apr-Jun 2013,33.14448677
Jul-Sep 2013,34.23106667
Oct-Dec 2013,33.73858725
Jan-Mar 2014,33.77143664
Apr-Jun 2014,33.46074927
Jul-Sep 2014,33.29007523
Oct-Dec 2014,33.62052532
Jan-Mar 2015,32.69030808
Apr-Jun 2015,33.27608978
Jul-Sep 2015,34.53993939
Oct-Dec 2015,33.64443872
Jan-Mar 2016,33.08165526
Apr-Jun 2016,32.20631277
Jul-Sep 2016,32.26946888
Oct-Dec 2016,30.81809831
Jan-Mar 2017,31.28278114
Apr-Jun 2017,31.37866201
Jul-Sep 2017,31.31137942
Oct-Dec 2017,30.58053898
Jan-Mar 2018,30.33334177
Apr-Jun 2018,30.47192837
Jul-Sep 2018,30.17373525
Oct-Dec 2018,30.18673076
Jan-Mar 2019,29.92473475
Apr-Jun 2019,28.94839659
Jul-Sep 2019,28.60069918
Oct-Dec 2019,28.104903
Jan-Mar 2020,28.72787349
Apr-Jun 2020,29.12057435
Jul-Sep 2020,29.48230566
Oct-Dec 2020,28.81663567
Jan-Mar 2021,28.7586863
Apr-Jun 2021,28.60313572
Jul-Sep 2021,28.10659858
Oct-Dec 2021,28.93184054
Jan-Mar 2022,28.22329583
Apr-Jun 2022,28.87736147
Jul-Sep 2022,29.82138892
Oct-Dec 2022,29.55581749
Jan-Mar 2023,28.97734107
Apr-Jun 2023,28.91559633
