country,value,value2,note
Germany,29500,1923-10-01,monthly
Greece,13800,1944-10-01,monthly
China,2178,1949-05-01,monthly
Yugoslavia,313000000,null,monthly
Hungary,41900000000000000,1946-07-01,monthly
,,,
,,,
,,,
