Year,School type,Value,Detail
2019,Academy,23.7,Share gaining A or A* by school type (%)
2020,Academy,36.2,
2021,Academy,41.9,
2019,Independent school,44,
2020,Independent school,60.8,
2021,Independent school,70.1,
2019,Comprehensive,20,
2020,Comprehensive,33.1,
2021,Comprehensive,39.3,
2019,Selective,36.1,
2020,Selective,49.1,
2021,Selective,56.6,
2019,6th Form college,21.9,
2020,6th Form college,31.5,
2021,6th Form college,35.3,
