region,value
United Kingdom,-0.2
North East,-0.4
North West,0
Yorkshire and The Humber,0.1
East Midlands,-1.5
West Midlands,-0.4
East,-0.6
London,-0.2
South East,0.6
South West,-0.4
Wales,0.6
Scotland,-1
Northern Ireland,0.2
