Date,City category,Footfall index,Detail
2020-05-25,Small,36.61316052,
2020-06-01,Small,36.70388833,
2020-06-08,Small,37.51246261,
2020-06-15,Small,43.57328016,
2020-06-22,Small,55.33100698,
2020-06-29,Small,67.35493519,
2020-07-06,Small,73.38185444,
2020-07-13,Small,73.49052841,
2020-07-20,Small,75.70289133,
2020-07-27,Small,79.49252243,
2020-08-03,Small,80.9332004,
2020-08-10,Small,81.78464606,
2020-08-17,Small,85.52342971,
2020-08-24,Small,89.68095713,
2020-08-31,Small,89.7557328,
2020-09-07,Small,91.04785643,
2020-09-14,Small,89.53140578,
2020-09-21,Small,90.58723829,
2020-09-28,Small,91.82352941,
2020-10-05,Small,92.65104686,
2020-10-12,Small,90.42771685,
2020-10-19,Small,89.26021934,
2020-10-26,Small,70.62512463,
2020-11-02,Small,53.83150548,
2020-11-09,Small,46.2891326,
2020-11-16,Small,46.66400798,
2020-11-23,Small,47.23230309,
2020-11-30,Small,62.34795613,
2020-12-07,Small,64.86939182,
2020-12-14,Small,62.85942173,
2020-12-21,Small,44.06380857,
2020-12-28,Small,40.79611167,
2021-01-01,Small,24.33133932,
2021-01-04,Small,30.37088734,
2021-01-11,Small,29.88434696,
2021-01-18,Small,30.34995015,
2021-01-25,Small,31.06480558,
2021-02-01,Small,30.73878365,
2021-02-08,Small,31.38683948,
2021-02-15,Small,33.96311067,
2021-02-22,Small,35.16550349,
2021-03-01,Small,35.17098704,
