Date,Year,Value,Detail
01-01,2019,102167,Number of commercial flights (7-day average)
01-02,2019,103033,
01-03,2019,103196,
01-04,2019,103128,
01-05,2019,102787,
01-06,2019,103037,
01-07,2019,105061,
01-08,2019,106999,
01-09,2019,106891,
01-10,2019,106436,
01-11,2019,106176,
01-12,2019,105396,
01-13,2019,104549,
01-14,2019,104209,
01-15,2019,104024,
01-16,2019,103896,
01-17,2019,104050,
01-18,2019,104458,
01-19,2019,104300,
01-20,2019,103992,
01-21,2019,103909,
01-22,2019,104033,
01-23,2019,103952,
01-24,2019,103973,
01-25,2019,104119,
01-26,2019,104612,
01-27,2019,105182,
01-28,2019,105050,
01-29,2019,105035,
01-30,2019,105084,
01-31,2019,105011,
02-01,2019,104960,
02-02,2019,105079,
02-03,2019,104914,
02-04,2019,104895,
02-05,2019,104867,
02-06,2019,105042,
02-07,2019,105114,
02-08,2019,105055,
02-09,2019,104956,
02-10,2019,105190,
02-11,2019,105622,
02-12,2019,105488,
02-13,2019,105297,
02-14,2019,105724,
02-15,2019,106192,
02-16,2019,106544,
02-17,2019,106606,
02-18,2019,106757,
02-19,2019,107260,
02-20,2019,107225,
02-21,2019,107084,
02-22,2019,106857,
02-23,2019,106751,
02-24,2019,106964,
02-25,2019,107007,
02-26,2019,107356,
02-27,2019,108085,
02-28,2019,108302,
03-01,2019,108395,
03-02,2019,108441,
03-03,2019,108405,
03-04,2019,108250,
03-05,2019,108180,
03-06,2019,108245,
03-07,2019,108247,
03-08,2019,108199,
03-09,2019,108183,
03-10,2019,108574,
03-11,2019,109198,
03-12,2019,109203,
03-13,2019,108891,
03-14,2019,108651,
03-15,2019,108772,
03-16,2019,108940,
03-17,2019,108935,
03-18,2019,108873,
03-19,2019,108996,
03-20,2019,109463,
03-21,2019,109829,
03-22,2019,109827,
03-23,2019,109705,
03-24,2019,109705,
03-25,2019,109044,
03-26,2019,108515,
03-27,2019,108412,
03-28,2019,108493,
03-29,2019,108443,
03-30,2019,108436,
03-31,2019,108604,
04-01,2019,109471,
04-02,2019,110391,
04-03,2019,110874,
04-04,2019,111207,
04-05,2019,111453,
04-06,2019,111649,
04-07,2019,111645,
