Date,Percentage point
Apr-Jun 2013,16.51341971
Jul-Sep 2013,16.44907668
Oct-Dec 2013,16.71334682
Jan-Mar 2014,16.63951913
Apr-Jun 2014,16.67499231
Jul-Sep 2014,16.99953618
Oct-Dec 2014,16.92381212
Jan-Mar 2015,17.12675412
Apr-Jun 2015,17.47753795
Jul-Sep 2015,17.41786519
Oct-Dec 2015,17.3068482
Jan-Mar 2016,17.50289442
Apr-Jun 2016,17.41407077
Jul-Sep 2016,17.64113505
Oct-Dec 2016,17.68187815
Jan-Mar 2017,17.55115603
Apr-Jun 2017,17.38774208
Jul-Sep 2017,18.33385002
Oct-Dec 2017,18.18359245
Jan-Mar 2018,18.0106775
Apr-Jun 2018,18.33930132
Jul-Sep 2018,18.37219523
Oct-Dec 2018,18.4799385
Jan-Mar 2019,18.46189996
Apr-Jun 2019,18.76505529
Jul-Sep 2019,19.28195408
Oct-Dec 2019,19.58875459
Jan-Mar 2020,19.78445422
Apr-Jun 2020,19.41643807
Jul-Sep 2020,20.11440664
Oct-Dec 2020,20.56946257
Jan-Mar 2021,20.5420057
Apr-Jun 2021,20.75361778
Jul-Sep 2021,21.22181197
Oct-Dec 2021,21.38258612
Jan-Mar 2022,21.83279691
Apr-Jun 2022,22.05173728
Jul-Sep 2022,22.61352089
Oct-Dec 2022,23.01536741
Jan-Mar 2023,23.23866449
Apr-Jun 2023,23.20052622
