Year,RegionIRE,ValueIRE,RegionEUR,ValueEUR,Detail
1841,Ireland,100,AUT,100,"Population change in Ireland (versus the rest of Europe), 1840-2010"
1842,Ireland,100.2619048,AUT,100.6151377,
1843,Ireland,100.4880952,AUT,101.2302755,
1844,Ireland,100.9404762,AUT,101.8454132,
1845,Ireland,101.1547619,AUT,102.4605509,
1846,Ireland,101.0714286,AUT,103.1024338,
1847,Ireland,97.67857143,AUT,103.7175715,
1848,Ireland,90.95238095,AUT,104.3594544,
1849,Ireland,86.38095238,AUT,105.0013373,
1850,Ireland,81.88095238,AUT,105.6432201,
1851,Ireland,77.54761905,AUT,106.3920834,
1852,Ireland,75.44047619,AUT,107.1409468,
1853,Ireland,73.79761905,AUT,107.9165552,
1854,Ireland,72.41666667,AUT,108.6654186,
1855,Ireland,71.60714286,AUT,109.441027,
1856,Ireland,71.10714286,AUT,110.1898903,
1857,Ireland,70.46428571,AUT,110.9922439,
1858,Ireland,70.13095238,AUT,111.7411072,
1859,Ireland,69.78571429,AUT,112.4899706,
1860,Ireland,69.29761905,AUT,113.265579,
1861,Ireland,68.9047619,AUT,114.0144424,
1862,Ireland,68.76190476,AUT,114.7900508,
1863,Ireland,68.07142857,AUT,115.5656593,
1864,Ireland,67.1547619,AUT,116.3412677,
1865,Ireland,66.60714286,AUT,117.1436213,
1866,Ireland,65.75,AUT,117.9192297,
1867,Ireland,65.32142857,AUT,118.7215833,
1868,Ireland,65.07142857,AUT,119.5239369,
1869,Ireland,64.86904762,AUT,120.3262905,
1870,Ireland,64.51190476,AUT,120.887938,
1871,Ireland,64.26190476,AUT,122.0112329,
1872,Ireland,63.96428571,AUT,123.1345279,
1873,Ireland,63.42857143,AUT,124.2578229,
1874,Ireland,63.08333333,AUT,125.3811179,
1875,Ireland,62.8452381,AUT,126.5044129,
1876,Ireland,62.83333333,AUT,127.6277079,
1877,Ireland,62.92857143,AUT,128.7777481,
1878,Ireland,62.88095238,AUT,129.9010431,
1879,Ireland,62.69047619,AUT,131.0243381,
1880,Ireland,61.94047619,AUT,132.1476331,
1881,Ireland,61.26190476,AUT,133.3244183,
1882,Ireland,60.72619048,AUT,134.5279486,
1883,Ireland,59.80952381,AUT,135.731479,
1884,Ireland,59.22619048,AUT,136.9617545,
1885,Ireland,58.79761905,AUT,138.1652848,
1886,Ireland,58.4047619,AUT,139.3955603,
1887,Ireland,57.82142857,AUT,140.5990907,
1888,Ireland,57.1547619,AUT,141.8293661,
1889,Ireland,56.63095238,AUT,143.0328965,
1890,Ireland,56.16666667,AUT,144.263172,
1891,Ireland,55.71428571,AUT,145.6539182,
1892,Ireland,55.16666667,AUT,147.2051351,
1893,Ireland,54.8452381,AUT,148.7830971,
1894,Ireland,54.63095238,AUT,150.3610591,
1895,Ireland,54.28571429,AUT,151.912276,
1896,Ireland,54.07142857,AUT,153.490238,
1897,Ireland,53.92857143,AUT,155.0682001,
1898,Ireland,53.78571429,AUT,156.619417,
1899,Ireland,53.5952381,AUT,158.197379,
1900,Ireland,53.20238095,AUT,159.7485959,
1901,Ireland,52.94047619,AUT,161.4067933,
1902,Ireland,52.79761905,AUT,163.1184809,
1903,Ireland,52.5952381,AUT,164.8569136,
1904,Ireland,52.47619048,AUT,166.5686012,
1905,Ireland,52.36904762,AUT,168.2802888,
1906,Ireland,52.35714286,AUT,170.0187216,
1907,Ireland,52.23809524,AUT,171.7304092,
1908,Ireland,52.20238095,AUT,173.4420968,
1909,Ireland,52.22619048,AUT,175.1805296,
1910,Ireland,52.20238095,AUT,176.8922172,
1911,Ireland,52.1547619,AUT,178.3631987,
1912,Ireland,52,AUT,179.8341803,
1913,Ireland,51.73809524,AUT,180.9842204,
1914,Ireland,51.5952381,AUT,182.02728,
1915,Ireland,50.92857143,AUT,183.0168494,
1916,Ireland,50.86904762,AUT,182.5354373,
1917,Ireland,50.86904762,AUT,181.4656325,
1918,Ireland,50.95238095,AUT,179.9144156,
1919,Ireland,51.80952381,AUT,171.7036641,
1920,Ireland,51.91666667,AUT,172.6397432,
1921,Ireland,51.85284992,AUT,173.9502541,
1922,Ireland,50.7579491,AUT,174.5921369,
1923,Ireland,50.92629705,AUT,174.9933137,
1924,Ireland,50.84597881,AUT,175.501471,
1925,Ireland,50.63603203,AUT,176.0363734,
1926,Ireland,50.33333333,AUT,176.5980209,
1927,Ireland,50.36292839,AUT,177.1329232,
