country,value,value2,note
Bolivia,60000,1985-08-01,yearly
Nicaragua,30000,1987-01-01,yearly
Argentina,12000,1989-01-01,yearly
Chile ,746,1974-04-01,yearly
Zimbabwe,516000000000000000000.00,2008-11-01,yearly
