date,series,value
1997,Improved,1717.4
1998,Improved,1382.4
1999,Improved,1146.3
2000,Improved,867.4
2001,Improved,743.3
2002,Improved,649.5
2003,Improved,563.2
2004,Improved,511.3
2005,Improved,465
2006,Improved,420.9
2007,Improved,385.9
2008,Improved,314.3
2009,Improved,264.8
2010,Improved,228.8
2011,Improved,199.1
2012,Improved,179.2
2013,Improved,166
2014,Improved,136.1
2015,Improved,113
2016,Improved,100
1997,Current,223
1998,Current,204.5
1999,Current,185.9
2000,Current,164.7
2001,Current,146.5
2002,Current,133.4
2003,Current,132.8
2004,Current,130.7
2005,Current,126.4
2006,Current,120.9
2007,Current,118.6
2008,Current,114.8
2009,Current,103.3
2010,Current,101.4
2011,Current,101.8
2012,Current,101.7
2013,Current,101.2
2014,Current,101.7
2015,Current,101.4
2016,Current,100
