name,value
Lamont (1992),0.00373
Lawson (1984),0.00494
Clarke (1996),0.00578
Lawson (1987),0.00637
Healey (1977),0.00739
Lawson (1986),0.00744
Barber (1971),0.00754
Howe (1983),0.00806
Healey (1978),0.01037
Howe (1982),0.01102
Lawson (1988),0.01284
Kwarteng (2022),0.01543
Barber (1972),0.01958
