date,value1,value2,value3,line
2020-08-06,0.05,0.68,128,
2020-08-10,0.05,0.62,125,
2020-08-17,0.05,0.5,126,
2020-08-22,0.05,0.54,97,
2020-09-02,0.07,0.78,74,
2020-09-07,0.11,1.42,97,
2020-09-16,0.19,2.14,134,
2020-09-21,0.21,2.9,203,
2020-09-28,0.41,3.47,296,
2020-10-05,0.62,5.56,401,
2020-10-13,0.79,7.59,622,
2020-10-20,1.04,10.32,913,
2020-10-28,1.13,13.04,1258,
2020-11-03,1.2,14.26,1771,
2020-11-11,1.22,17.07,2274,
2020-11-18,1.16,15.37,2471,
2020-11-25,0.96,13.55,2820,
2020-12-02,0.88,13.21,2623,
2020-12-09,1.04,15.49,2530,
2020-12-15,1.18,19.16,2729,
2020-12-20,1.47,21.47,2631,Alpha
2020-12-30,2.06,29.44,2831,
2021-01-06,2.08,36.68,5597,
2021-01-13,1.88,35.78,6767,
2021-01-20,1.87,32.67,7956,
2021-01-24,1.55,24.71,8063,
2021-02-03,1.28,18.87,6990,
2021-02-09,0.88,14.5,5464,
2021-02-16,0.69,11.42,3891,
2021-02-24,0.45,7.94,2772,
2021-03-03,0.37,5.99,1994,
2021-03-10,0.29,4.44,1428,
2021-03-17,0.3,3.45,912,
2021-03-24,0.27,2.63,687,
2021-03-31,0.3,2.1,385,
2021-04-07,0.21,1.85,360,
2021-04-13,0.17,1.43,346,
2021-04-21,0.1,1.2,244,
2021-04-29,0.08,1.03,198,
2021-05-05,0.07,0.85,124,
2021-05-12,0.09,0.71,145,
2021-05-19,0.09,0.8,100,Delta
2021-05-26,0.16,0.9,92,
2021-06-02,0.18,1.14,96,
2021-06-09,0.19,1.59,83,
2021-06-16,0.22,1.99,102,
2021-06-23,0.39,2.01,97,
2021-06-30,0.61,2.95,106,
2021-07-07,1.06,4.68,176,
2021-07-14,1.36,6.13,213,
2021-07-21,1.57,7.54,308,
2021-07-28,1.32,7,389,
2021-08-03,1.33,6.74,502,
2021-08-11,1.28,7.28,550,
2021-08-17,1.39,7.79,551,
2021-08-24,1.41,7.44,649,
2021-08-31,1.38,7.59,632,
2021-09-08,1.28,7.36,786,
2021-09-15,1.14,6.23,783,
2021-09-22,1.21,5.4,799,
2021-09-29,1.44,5.82,715,
2021-10-06,1.63,6.23,582,
2021-10-13,1.79,7.76,640,
2021-10-19,2.02,8.59,708,
2021-10-27,2.02,8.6,777,
2021-11-03,1.7,7.53,892,
2021-11-10,1.51,7.61,943,
2021-11-17,1.58,6.88,865,
2021-11-24,1.65,6.4,738,
2021-11-28,1.64,6.68,729,
2021-12-08,1.72,7.33,708,
2021-12-13,2.21,7.9,702,
2021-12-20,3.71,10.82,797,Omicron
2021-12-28,6,18.95,557,
2022-01-03,6.85,19.88,857,
2022-01-12,5.47,18.61,1308,
2022-01-19,4.82,16.72,1378,
2022-01-26,4.83,16.36,1323,
2022-02-02,5.18,13.6,1162,
2022-02-09,4.49,11.65,1025,
2022-02-16,3.84,10.61,814,
2022-02-23,3.55,9.84,722,
2022-03-02,3.8,11.67,621,
2022-03-09,4.87,13.38,628,
