Date,Transport type,Percentage
01/10/2020,National rail,34
02/10/2020,National rail,34
03/10/2020,National rail,33
04/10/2020,National rail,33
05/10/2020,National rail,34
06/10/2020,National rail,35
07/10/2020,National rail,36
08/10/2020,National rail,35
09/10/2020,National rail,36
10/10/2020,National rail,36
11/10/2020,National rail,36
12/10/2020,National rail,36
13/10/2020,National rail,37
14/10/2020,National rail,36
15/10/2020,National rail,36
16/10/2020,National rail,36
17/10/2020,National rail,35
18/10/2020,National rail,35
19/10/2020,National rail,34
20/10/2020,National rail,34
21/10/2020,National rail,34
22/10/2020,National rail,34
23/10/2020,National rail,33
24/10/2020,National rail,33
25/10/2020,National rail,33
26/10/2020,National rail,32
27/10/2020,National rail,32
28/10/2020,National rail,31
29/10/2020,National rail,31
30/10/2020,National rail,31
31/10/2020,National rail,31
01/11/2020,National rail,32
02/11/2020,National rail,33
03/11/2020,National rail,34
04/11/2020,National rail,35
05/11/2020,National rail,34
06/11/2020,National rail,32
07/11/2020,National rail,30
08/11/2020,National rail,28
09/11/2020,National rail,27
10/11/2020,National rail,25
11/11/2020,National rail,23
12/11/2020,National rail,23
13/11/2020,National rail,24
14/11/2020,National rail,24
15/11/2020,National rail,24
16/11/2020,National rail,23
17/11/2020,National rail,23
18/11/2020,National rail,23
19/11/2020,National rail,23
20/11/2020,National rail,23
21/11/2020,National rail,23
22/11/2020,National rail,23
23/11/2020,National rail,23
24/11/2020,National rail,23
25/11/2020,National rail,23
26/11/2020,National rail,23
27/11/2020,National rail,23
28/11/2020,National rail,23
29/11/2020,National rail,23
30/11/2020,National rail,23
01/12/2020,National rail,24
02/12/2020,National rail,25
03/12/2020,National rail,26
04/12/2020,National rail,27
05/12/2020,National rail,29
06/12/2020,National rail,30
07/12/2020,National rail,31
08/12/2020,National rail,32
09/12/2020,National rail,32
10/12/2020,National rail,33
11/12/2020,National rail,33
12/12/2020,National rail,33
13/12/2020,National rail,33
14/12/2020,National rail,33
15/12/2020,National rail,33
16/12/2020,National rail,32
17/12/2020,National rail,32
18/12/2020,National rail,31
19/12/2020,National rail,30
20/12/2020,National rail,29
21/12/2020,National rail,27
22/12/2020,National rail,27
23/12/2020,National rail,23
24/12/2020,National rail,22
25/12/2020,National rail,21
26/12/2020,National rail,20
27/12/2020,National rail,20
28/12/2020,National rail,17
29/12/2020,National rail,16
30/12/2020,National rail,14
31/12/2020,National rail,12
01/01/2021,National rail,12
02/01/2021,National rail,11
03/01/2021,National rail,12
04/01/2021,National rail,13
05/01/2021,National rail,14
06/01/2021,National rail,13
07/01/2021,National rail,13
08/01/2021,National rail,14
09/01/2021,National rail,14
10/01/2021,National rail,14
11/01/2021,National rail,14
12/01/2021,National rail,14
13/01/2021,National rail,14
14/01/2021,National rail,14
15/01/2021,National rail,14
16/01/2021,National rail,14
17/01/2021,National rail,14
18/01/2021,National rail,14
19/01/2021,National rail,14
20/01/2021,National rail,14
21/01/2021,National rail,14
22/01/2021,National rail,14
23/01/2021,National rail,14
24/01/2021,National rail,14
25/01/2021,National rail,14
26/01/2021,National rail,14
27/01/2021,National rail,14
28/01/2021,National rail,14
29/01/2021,National rail,14
30/01/2021,National rail,14
31/01/2021,National rail,14
01/02/2021,National rail,13
02/02/2021,National rail,13
03/02/2021,National rail,13
04/02/2021,National rail,13
05/02/2021,National rail,12
06/02/2021,National rail,12
07/02/2021,National rail,13
08/02/2021,National rail,13
01/03/2020,London underground,104
02/03/2020,London underground,95
03/03/2020,London underground,95
04/03/2020,London underground,95
05/03/2020,London underground,92
06/03/2020,London underground,92
07/03/2020,London underground,91
08/03/2020,London underground,87
09/03/2020,London underground,90
10/03/2020,London underground,89
11/03/2020,London underground,86
12/03/2020,London underground,81
13/03/2020,London underground,72
14/03/2020,London underground,61
15/03/2020,London underground,54
16/03/2020,London underground,60
17/03/2020,London underground,44
18/03/2020,London underground,35
19/03/2020,London underground,30
20/03/2020,London underground,24
21/03/2020,London underground,13
22/03/2020,London underground,11
23/03/2020,London underground,15
24/03/2020,London underground,9
25/03/2020,London underground,7
26/03/2020,London underground,6
27/03/2020,London underground,6
28/03/2020,London underground,4
29/03/2020,London underground,4
30/03/2020,London underground,6
31/03/2020,London underground,5
01/04/2020,London underground,5
02/04/2020,London underground,5
03/04/2020,London underground,5
04/04/2020,London underground,4
05/04/2020,London underground,4
06/04/2020,London underground,5
07/04/2020,London underground,5
08/04/2020,London underground,5
09/04/2020,London underground,5
10/04/2020,London underground,4
11/04/2020,London underground,4
12/04/2020,London underground,4
13/04/2020,London underground,5
14/04/2020,London underground,5
15/04/2020,London underground,5
16/04/2020,London underground,5
17/04/2020,London underground,5
18/04/2020,London underground,4
19/04/2020,London underground,4
20/04/2020,London underground,5
21/04/2020,London underground,5
22/04/2020,London underground,5
23/04/2020,London underground,5
24/04/2020,London underground,5
25/04/2020,London underground,4
26/04/2020,London underground,3
27/04/2020,London underground,5
28/04/2020,London underground,5
29/04/2020,London underground,5
30/04/2020,London underground,5
01/05/2020,London underground,5
02/05/2020,London underground,4
03/05/2020,London underground,4
04/05/2020,London underground,6
05/05/2020,London underground,6
06/05/2020,London underground,5
07/05/2020,London underground,5
08/05/2020,London underground,7
09/05/2020,London underground,5
10/05/2020,London underground,4
11/05/2020,London underground,6
12/05/2020,London underground,6
13/05/2020,London underground,6
14/05/2020,London underground,6
15/05/2020,London underground,6
16/05/2020,London underground,5
17/05/2020,London underground,6
18/05/2020,London underground,8
19/05/2020,London underground,7
20/05/2020,London underground,7
21/05/2020,London underground,7
22/05/2020,London underground,8
23/05/2020,London underground,6
24/05/2020,London underground,6
25/05/2020,London underground,9
26/05/2020,London underground,9
27/05/2020,London underground,8
28/05/2020,London underground,9
29/05/2020,London underground,9
30/05/2020,London underground,8
31/05/2020,London underground,9
01/06/2020,London underground,10
02/06/2020,London underground,10
