date,series,value
2021-01-15,Manufacturing,54.1
2021-02-15,Manufacturing,55.1
2021-03-15,Manufacturing,58.9
2021-04-15,Manufacturing,60.9
2021-05-15,Manufacturing,65.6
2021-06-15,Manufacturing,63.9
2021-07-15,Manufacturing,60.4
2021-08-15,Manufacturing,60.3
2021-09-15,Manufacturing,57.1
2021-10-15,Manufacturing,57.8
2021-11-15,Manufacturing,58.1
2021-12-15,Manufacturing,57.9
2022-01-15,Manufacturing,57.3
2022-02-15,Manufacturing,58
2022-03-15,Manufacturing,55.2
2022-04-15,Manufacturing,55.8
2022-05-15,Manufacturing,54.6
2022-06-15,Manufacturing,52.8
2022-07-15,Manufacturing,52.1
2022-08-15,Manufacturing,47.3
2022-09-15,Manufacturing,48.4
2022-10-15,Manufacturing,46.2
2022-11-15,Manufacturing,46.5
2022-12-15,Manufacturing,45.3
2023-01-15,Manufacturing,47
2023-02-15,Manufacturing,49.3
2021-01-15,Services,39.5
2021-02-15,Services,49.5
2021-03-15,Services,56.3
2021-04-15,Services,61
2021-05-15,Services,62.9
2021-06-15,Services,62.4
2021-07-15,Services,59.6
2021-08-15,Services,55
2021-09-15,Services,55.4
2021-10-15,Services,59.1
2021-11-15,Services,58.5
2021-12-15,Services,53.6
2022-01-15,Services,54.1
2022-02-15,Services,60.5
2022-03-15,Services,62.6
2022-04-15,Services,58.9
2022-05-15,Services,53.4
2022-06-15,Services,54.3
2022-07-15,Services,52.6
2022-08-15,Services,50.9
2022-09-15,Services,50
2022-10-15,Services,48.8
2022-11-15,Services,48.8
2022-12-15,Services,49.9
2023-01-15,Services,48.7
2023-02-15,Services,53.5
2021-01-15,Construction,49.2
2021-02-15,Construction,53.3
2021-03-15,Construction,61.7
2021-04-15,Construction,61.6
2021-05-15,Construction,64.2
2021-06-15,Construction,66.3
2021-07-15,Construction,58.7
2021-08-15,Construction,55.2
2021-09-15,Construction,52.6
2021-10-15,Construction,54.6
2021-11-15,Construction,55.5
2021-12-15,Construction,54.3
2022-01-15,Construction,56.3
2022-02-15,Construction,59.1
2022-03-15,Construction,59.1
2022-04-15,Construction,58.2
2022-05-15,Construction,56.4
2022-06-15,Construction,52.6
2022-07-15,Construction,48.9
2022-08-15,Construction,49.2
2022-09-15,Construction,52.3
2022-10-15,Construction,53.2
2022-11-15,Construction,50.4
2022-12-15,Construction,48.8
2023-01-15,Construction,48.4
2023-02-15,Construction,54.6
