date,metric,value
2016-12-01,Realised annual price growth,2.23
2017-01-01,Realised annual price growth,2.23
2017-02-01,Realised annual price growth,3.17
2017-03-01,Realised annual price growth,2.06
2017-04-01,Realised annual price growth,1.88
2017-05-01,Realised annual price growth,3.43
2017-06-01,Realised annual price growth,2.59
2017-07-01,Realised annual price growth,2.52
2017-08-01,Realised annual price growth,3.48
2017-09-01,Realised annual price growth,3.17
2017-10-01,Realised annual price growth,2.36
2017-11-01,Realised annual price growth,2.95
2017-12-01,Realised annual price growth,2.43
2018-01-01,Realised annual price growth,2.98
2018-02-01,Realised annual price growth,2.92
2018-03-01,Realised annual price growth,2.50
2018-04-01,Realised annual price growth,3.24
2018-05-01,Realised annual price growth,2.53
2018-06-01,Realised annual price growth,2.89
2018-07-01,Realised annual price growth,2.45
2018-08-01,Realised annual price growth,2.41
2018-09-01,Realised annual price growth,2.50
2018-10-01,Realised annual price growth,2.49
2018-11-01,Realised annual price growth,2.53
2018-12-01,Realised annual price growth,2.21
2019-01-01,Realised annual price growth,2.91
2019-02-01,Realised annual price growth,2.29
2019-03-01,Realised annual price growth,2.40
2019-04-01,Realised annual price growth,3.03
2019-05-01,Realised annual price growth,2.07
2019-06-01,Realised annual price growth,2.69
2019-07-01,Realised annual price growth,2.31
2019-08-01,Realised annual price growth,2.19
2019-09-01,Realised annual price growth,2.30
2019-10-01,Realised annual price growth,2.13
2019-11-01,Realised annual price growth,2.12
2019-12-01,Realised annual price growth,1.88
2020-01-01,Realised annual price growth,2.29
2020-02-01,Realised annual price growth,1.92
2020-03-01,Realised annual price growth,1.67
2020-04-01,Realised annual price growth,2.03
2020-05-01,Realised annual price growth,1.69
2020-06-01,Realised annual price growth,1.14
2020-07-01,Realised annual price growth,1.96
2020-08-01,Realised annual price growth,1.09
2020-09-01,Realised annual price growth,1.55
2020-10-01,Realised annual price growth,2.25
2020-11-01,Realised annual price growth,1.67
2020-12-01,Realised annual price growth,1.20
2021-01-01,Realised annual price growth,1.96
2021-02-01,Realised annual price growth,2.02
2021-03-01,Realised annual price growth,1.54
2021-04-01,Realised annual price growth,2.60
2021-05-01,Realised annual price growth,2.82
2021-06-01,Realised annual price growth,3.03
2021-07-01,Realised annual price growth,3.53
2021-08-01,Realised annual price growth,3.54
2021-09-01,Realised annual price growth,4.58
2021-10-01,Realised annual price growth,5.46
2021-11-01,Realised annual price growth,4.66
2021-12-01,Realised annual price growth,5.00
2022-01-01,Realised annual price growth,5.67
2022-02-01,Realised annual price growth,5.46
2016-12-01,Realised price growth (3 month),null
2017-01-01,Realised price growth (3 month),null
2017-02-01,Realised price growth (3 month),2.54
2017-03-01,Realised price growth (3 month),2.49
2017-04-01,Realised price growth (3 month),2.37
2017-05-01,Realised price growth (3 month),2.46
2017-06-01,Realised price growth (3 month),2.64
2017-07-01,Realised price growth (3 month),2.85
2017-08-01,Realised price growth (3 month),2.86
2017-09-01,Realised price growth (3 month),3.06
2017-10-01,Realised price growth (3 month),3.01
2017-11-01,Realised price growth (3 month),2.83
2017-12-01,Realised price growth (3 month),2.58
2018-01-01,Realised price growth (3 month),2.79
2018-02-01,Realised price growth (3 month),2.78
2018-03-01,Realised price growth (3 month),2.80
2018-04-01,Realised price growth (3 month),2.89
2018-05-01,Realised price growth (3 month),2.76
2018-06-01,Realised price growth (3 month),2.89
2018-07-01,Realised price growth (3 month),2.62
2018-08-01,Realised price growth (3 month),2.58
2018-09-01,Realised price growth (3 month),2.45
2018-10-01,Realised price growth (3 month),2.47
2018-11-01,Realised price growth (3 month),2.51
2018-12-01,Realised price growth (3 month),2.41
2019-01-01,Realised price growth (3 month),2.55
2019-02-01,Realised price growth (3 month),2.47
2019-03-01,Realised price growth (3 month),2.54
2019-04-01,Realised price growth (3 month),2.58
2019-05-01,Realised price growth (3 month),2.50
2019-06-01,Realised price growth (3 month),2.60
2019-07-01,Realised price growth (3 month),2.36
2019-08-01,Realised price growth (3 month),2.40
2019-09-01,Realised price growth (3 month),2.27
2019-10-01,Realised price growth (3 month),2.21
2019-11-01,Realised price growth (3 month),2.18
2019-12-01,Realised price growth (3 month),2.04
2020-01-01,Realised price growth (3 month),2.10
2020-02-01,Realised price growth (3 month),2.03
2020-03-01,Realised price growth (3 month),1.96
2020-04-01,Realised price growth (3 month),1.87
2020-05-01,Realised price growth (3 month),1.79
