year,region,value
Apr-22,UK,9
May-22,UK,9.1
Jun-22,UK,9.4
Apr-22,United States,8.26
May-22,United States,8.6
Jun-22,United States,9.1
Apr-22,China,2.1
May-22,China,2.1
Jun-22,China,2.5
Apr-22,Russia,17.8
May-22,Russia,17.1
Jun-22,Russia,15.9
Apr-22,Japan,0.5
May-22,Japan,0.9
Jun-22,Japan,1.2
Apr-22,G20,8.5
May-22,G20,8.9
Jun-22,G20,9.2
Apr-22,Canada,6.8
May-22,Canada,7.7
Jun-22,Canada,8.1
