Date,Team,Value,Detail
1872-11-30,England,1000,Elo rating
1873-03-08,England,1000,
1874-03-07,England,1010,
1875-03-06,England,999.4249887,
1876-03-04,England,999.4580889,
1877-03-03,England,989.4892837,
1878-03-02,England,980.0935919,
1879-04-05,England,971.2345075,
1880-03-13,England,982.8754123,
1881-03-12,England,973.8580021,
1882-03-11,England,965.3515988,
1883-03-10,England,957.3200872,
1884-03-15,England,949.7286726,
1885-03-21,England,942.5443595,
1886-03-31,England,945.7362262,
1887-03-19,England,948.7621188,
1888-03-17,England,941.6289532,
1889-04-13,England,954.8680665,
1890-04-05,England,947.4091538,
1891-04-06,England,950.3473094,
1892-04-02,England,963.1301753,
1893-04-01,England,975.2212686,
1894-04-07,England,986.6380516,
1895-04-06,England,987.4057139,
1896-04-04,England,998.1294318,
1897-04-03,England,988.2371062,
1898-04-02,England,978.9131998,
1899-04-08,England,990.1211267,
1900-04-07,England,1000.689188,
1901-03-30,England,990.6495155,
1902-03-03,England,991.1872534,
1903-04-04,England,991.6941212,
1904-04-09,England,982.171882,
1905-04-01,England,993.1945631,
1906-04-07,England,1003.586115,
1907-04-06,England,993.3797112,
1908-04-04,England,993.7606213,
1909-04-03,England,994.1196344,
1910-04-02,England,1004.458006,
1910-05-15,England,1004.458006,
1910-05-26,England,1004.458006,
1911-04-01,England,994.2014391,
1911-04-09,England,994.2014391,
1912-03-17,England,994.2014391,
1912-03-23,England,994.5351072,
1912-07-01,England,994.5351072,
1913-01-12,England,994.5351072,
1913-04-05,England,994.8495879,
1913-05-01,England,994.8495879,
1914-03-29,England,994.8495879,
1914-04-14,England,1005.145983,
1920-01-18,England,1005.145983,
1920-04-10,England,994.8498427,
1920-05-13,England,994.8498427,
1921-02-20,England,994.8498427,
1921-04-09,England,1005.146223,
1921-05-05,England,1005.146223,
1921-05-08,England,1005.146223,
1921-05-21,England,994.850069,
1922-02-26,England,994.850069,
1922-04-08,England,1004.684087,
1923-03-04,England,1004.684087,
1923-03-19,England,994.697495,
1923-04-14,England,1004.253136,
1923-05-10,England,1004.566283,
1923-05-21,England,1013.376417,
1923-05-24,England,1021.183154,
1923-05-27,England,1021.183154,
1923-11-01,England,1028.566573,
1924-04-06,England,1028.566573,
1924-04-12,England,1026.888092,
1924-05-17,England,1026.540981,
1924-11-16,England,1026.540981,
1924-12-08,England,1033.981848,
1925-01-18,England,1033.981848,
1925-03-22,England,1033.981848,
1925-04-04,England,1041.893234,
1925-05-21,England,1031.125605,
1925-06-18,England,1031.125605,
1925-11-08,England,1031.125605,
1926-01-17,England,1031.125605,
1926-04-17,England,1037.859652,
1926-05-24,England,1027.516657,
1926-07-18,England,1027.516657,
1926-10-28,England,1027.516657,
1927-02-20,England,1027.516657,
1927-04-02,England,1035.156802,
1927-04-17,England,1035.156802,
1927-04-24,England,1035.156802,
1927-05-11,England,1045.189162,
1927-05-26,England,1052.272996,
1927-10-23,England,1052.272996,
