date,index,value
01/03/2012,CPIH,3.1
01/04/2012,CPIH,2.8
01/05/2012,CPIH,2.5
01/06/2012,CPIH,2.3
01/07/2012,CPIH,2.4
01/08/2012,CPIH,2.3
01/09/2012,CPIH,2.1
01/10/2012,CPIH,2.4
01/11/2012,CPIH,2.4
01/12/2012,CPIH,2.4
01/01/2013,CPIH,2.4
01/02/2013,CPIH,2.5
01/03/2013,CPIH,2.5
01/04/2013,CPIH,2.2
01/05/2013,CPIH,2.4
01/06/2013,CPIH,2.6
01/07/2013,CPIH,2.5
01/08/2013,CPIH,2.4
01/09/2013,CPIH,2.4
01/10/2013,CPIH,2
01/11/2013,CPIH,1.9
01/12/2013,CPIH,1.9
01/01/2014,CPIH,1.8
01/02/2014,CPIH,1.6
01/03/2014,CPIH,1.5
01/04/2014,CPIH,1.7
01/05/2014,CPIH,1.5
01/06/2014,CPIH,1.8
01/07/2014,CPIH,1.6
01/08/2014,CPIH,1.5
01/09/2014,CPIH,1.3
01/10/2014,CPIH,1.3
01/11/2014,CPIH,1.1
01/12/2014,CPIH,0.7
01/01/2015,CPIH,0.5
01/02/2015,CPIH,0.4
01/03/2015,CPIH,0.3
01/04/2015,CPIH,0.3
01/05/2015,CPIH,0.4
01/06/2015,CPIH,0.3
01/07/2015,CPIH,0.5
01/08/2015,CPIH,0.4
01/09/2015,CPIH,0.2
01/10/2015,CPIH,0.2
01/11/2015,CPIH,0.4
01/12/2015,CPIH,0.5
01/01/2016,CPIH,0.6
01/02/2016,CPIH,0.6
01/03/2016,CPIH,0.8
01/04/2016,CPIH,0.7
01/05/2016,CPIH,0.7
01/06/2016,CPIH,0.8
01/07/2016,CPIH,0.9
01/08/2016,CPIH,1
01/09/2016,CPIH,1.3
01/10/2016,CPIH,1.3
01/11/2016,CPIH,1.5
01/12/2016,CPIH,1.8
01/01/2017,CPIH,1.9
01/02/2017,CPIH,2.3
01/03/2017,CPIH,2.3
01/04/2017,CPIH,2.6
01/05/2017,CPIH,2.7
01/06/2017,CPIH,2.6
01/07/2017,CPIH,2.6
01/08/2017,CPIH,2.7
01/09/2017,CPIH,2.8
01/10/2017,CPIH,2.8
01/11/2017,CPIH,2.8
01/12/2017,CPIH,2.7
01/01/2018,CPIH,2.7
01/02/2018,CPIH,2.5
01/03/2018,CPIH,2.3
01/04/2018,CPIH,2.2
01/05/2018,CPIH,2.3
01/06/2018,CPIH,2.3
01/07/2018,CPIH,2.3
01/08/2018,CPIH,2.4
01/09/2018,CPIH,2.2
01/10/2018,CPIH,2.2
01/11/2018,CPIH,2.2
01/12/2018,CPIH,2
01/01/2019,CPIH,1.8
01/02/2019,CPIH,1.8
01/03/2019,CPIH,1.8
01/04/2019,CPIH,2
01/05/2019,CPIH,1.9
01/06/2019,CPIH,1.9
01/07/2019,CPIH,2
01/08/2019,CPIH,1.7
01/09/2019,CPIH,1.7
01/10/2019,CPIH,1.5
01/11/2019,CPIH,1.5
01/12/2019,CPIH,1.4
01/01/2020,CPIH,1.8
01/02/2020,CPIH,1.7
01/03/2020,CPIH,1.5
01/04/2020,CPIH,0.9
01/05/2020,CPIH,0.7
01/06/2020,CPIH,0.8
01/07/2020,CPIH,1.1
01/08/2020,CPIH,0.5
01/09/2020,CPIH,0.7
01/10/2020,CPIH,0.9
01/11/2020,CPIH,0.6
01/12/2020,CPIH,0.8
01/01/2021,CPIH,0.9
01/02/2021,CPIH,0.7
01/03/2021,CPIH,1
01/04/2021,CPIH,1.6
01/05/2021,CPIH,2.1
01/06/2021,CPIH,2.4
01/07/2021,CPIH,2.1
01/08/2021,CPIH,3
01/09/2021,CPIH,2.9
01/10/2021,CPIH,3.8
01/11/2021,CPIH,4.6
01/12/2021,CPIH,4.8
01/01/2022,CPIH,4.9
01/02/2022,CPIH,5.5
01/03/2022,CPIH,6.2
01/04/2022,CPIH,7.8
01/03/2012,CPI,3.5
01/04/2012,CPI,3
01/05/2012,CPI,2.8
01/06/2012,CPI,2.4
01/07/2012,CPI,2.6
01/08/2012,CPI,2.5
01/09/2012,CPI,2.2
