country,value
Guinea,93.940
Georgia,106.145
Turkey,106.970
Bangladesh,120.450
Serbia,124.090
Somalia,175.125
Iran,190.890
Russia,194.200
Eritrea,195.935
Albania,197.505
Nigeria,231.060
Pakistan,263.310
Iraq,463.305
Afghanistan,644.195
Syria,1159.035
