Date,Type of work,Value,
2020-01-01,Clerical and data entry,1,
2020-01-02,Clerical and data entry,0.810996564,
2020-01-03,Clerical and data entry,1.176975945,
2020-01-04,Clerical and data entry,1.189003436,
2020-01-05,Clerical and data entry,1.04467354,
2020-01-06,Clerical and data entry,1.067010309,
2020-01-07,Clerical and data entry,1.309278351,
2020-01-08,Clerical and data entry,1.302405498,
2020-01-09,Clerical and data entry,1.316151203,
2020-01-10,Clerical and data entry,1.348797251,
2020-01-11,Clerical and data entry,1.551546392,
2020-01-12,Clerical and data entry,1.140893471,
2020-01-13,Clerical and data entry,1.097938144,
2020-01-14,Clerical and data entry,1.487972509,
2020-01-15,Clerical and data entry,1.546391753,
2020-01-16,Clerical and data entry,1.587628866,
2020-01-17,Clerical and data entry,1.548109966,
2020-01-18,Clerical and data entry,1.565292096,
2020-01-19,Clerical and data entry,1.293814433,
2020-01-20,Clerical and data entry,1.20790378,
2020-01-21,Clerical and data entry,1.496563574,
2020-01-22,Clerical and data entry,1.525773196,
2020-01-23,Clerical and data entry,1.402061856,
2020-01-24,Clerical and data entry,1.575601375,
2020-01-25,Clerical and data entry,1.506872852,
2020-01-26,Clerical and data entry,1.12371134,
2020-01-27,Clerical and data entry,0.89862543,
2020-01-28,Clerical and data entry,1.422680412,
2020-01-29,Clerical and data entry,1.47766323,
2020-01-30,Clerical and data entry,1.517182131,
2020-01-31,Clerical and data entry,1.494845361,
2020-02-01,Clerical and data entry,1.359106529,
2020-02-02,Clerical and data entry,1.073883162,
2020-02-03,Clerical and data entry,1.015463918,
2020-02-04,Clerical and data entry,1.563573883,
2020-02-05,Clerical and data entry,1.609965636,
2020-02-06,Clerical and data entry,1.360824742,
2020-02-07,Clerical and data entry,1.518900344,
2020-02-08,Clerical and data entry,1.462199313,
2020-02-09,Clerical and data entry,1.073883162,
2020-02-10,Clerical and data entry,1.048109966,
2020-02-11,Clerical and data entry,1.627147766,
2020-02-12,Clerical and data entry,1.54467354,
2020-02-13,Clerical and data entry,1.604810997,
2020-02-14,Clerical and data entry,1.565292096,
2020-02-15,Clerical and data entry,1.414089347,
2020-02-16,Clerical and data entry,1.211340206,
2020-02-17,Clerical and data entry,1.245704467,
2020-02-18,Clerical and data entry,1.640893471,
2020-02-19,Clerical and data entry,1.640893471,
2020-02-20,Clerical and data entry,1.738831615,
2020-02-21,Clerical and data entry,1.592783505,
2020-02-22,Clerical and data entry,1.556701031,
2020-02-23,Clerical and data entry,1.18556701,
2020-02-24,Clerical and data entry,1.211340206,
2020-02-25,Clerical and data entry,1.627147766,
2020-02-26,Clerical and data entry,1.673539519,
2020-02-27,Clerical and data entry,1.738831615,
2020-02-28,Clerical and data entry,1.599656357,
2020-02-29,Clerical and data entry,1.486254296,
2020-03-01,Clerical and data entry,1.187285223,
2020-03-02,Clerical and data entry,1.175257732,
2020-03-03,Clerical and data entry,1.647766323,
2020-03-04,Clerical and data entry,1.458762887,
2020-03-05,Clerical and data entry,1.896907216,
2020-03-06,Clerical and data entry,1.795532646,
2020-03-07,Clerical and data entry,1.630584192,
2020-03-08,Clerical and data entry,1.214776632,
2020-03-09,Clerical and data entry,1.161512027,
2020-03-10,Clerical and data entry,1.52233677,
2020-03-11,Clerical and data entry,1.639175258,
2020-03-12,Clerical and data entry,1.714776632,
2020-03-13,Clerical and data entry,1.402061856,
2020-03-14,Clerical and data entry,1.498281787,
2020-03-15,Clerical and data entry,1.194158076,
2020-03-16,Clerical and data entry,1.187285223,
2020-03-17,Clerical and data entry,1.163230241,
2020-03-18,Clerical and data entry,1.56185567,
