date,country,value
2009-10-01,Netherlands (TTF),0.94
2009-11-01,Netherlands (TTF),0.89
2009-12-01,Netherlands (TTF),0.99
2010-01-01,Netherlands (TTF),1.27
2010-02-01,Netherlands (TTF),1.24
2010-03-01,Netherlands (TTF),1.07
2010-04-01,Netherlands (TTF),1.17
2010-05-01,Netherlands (TTF),1.41
2010-06-01,Netherlands (TTF),1.55
2010-07-01,Netherlands (TTF),1.64
2010-08-01,Netherlands (TTF),1.48
2010-09-01,Netherlands (TTF),1.58
2010-10-01,Netherlands (TTF),1.64
2010-11-01,Netherlands (TTF),1.65
2010-12-01,Netherlands (TTF),2.04
2011-01-01,Netherlands (TTF),1.92
2011-02-01,Netherlands (TTF),1.84
2011-03-01,Netherlands (TTF),2.06
2011-04-01,Netherlands (TTF),2.01
2011-05-01,Netherlands (TTF),2.01
2011-06-01,Netherlands (TTF),2.02
2011-07-01,Netherlands (TTF),1.91
2011-08-01,Netherlands (TTF),1.89
2011-09-01,Netherlands (TTF),2.07
2011-10-01,Netherlands (TTF),1.97
2011-11-01,Netherlands (TTF),2.04
2011-12-01,Netherlands (TTF),1.90
2012-01-01,Netherlands (TTF),1.81
2012-02-01,Netherlands (TTF),2.24
2012-03-01,Netherlands (TTF),1.98
2012-04-01,Netherlands (TTF),2.04
2012-05-01,Netherlands (TTF),1.95
2012-06-01,Netherlands (TTF),1.92
2012-07-01,Netherlands (TTF),1.92
2012-08-01,Netherlands (TTF),1.90
2012-09-01,Netherlands (TTF),2.05
2012-10-01,Netherlands (TTF),2.15
2012-11-01,Netherlands (TTF),2.19
2012-12-01,Netherlands (TTF),2.22
2013-01-01,Netherlands (TTF),2.22
2013-02-01,Netherlands (TTF),2.25
2013-03-01,Netherlands (TTF),null
2013-04-01,Netherlands (TTF),null
2013-05-01,Netherlands (TTF),null
2013-06-01,Netherlands (TTF),null
2013-07-01,Netherlands (TTF),null
2013-08-01,Netherlands (TTF),null
2013-09-01,Netherlands (TTF),null
2013-10-01,Netherlands (TTF),null
2013-11-01,Netherlands (TTF),null
2013-12-01,Netherlands (TTF),null
2014-01-01,Netherlands (TTF),null
2014-02-01,Netherlands (TTF),null
2014-03-01,Netherlands (TTF),null
2014-04-01,Netherlands (TTF),null
2014-05-01,Netherlands (TTF),null
2014-06-01,Netherlands (TTF),null
2014-07-01,Netherlands (TTF),null
2014-08-01,Netherlands (TTF),null
2014-09-01,Netherlands (TTF),null
2014-10-01,Netherlands (TTF),null
2014-11-01,Netherlands (TTF),null
2014-12-01,Netherlands (TTF),null
2015-01-01,Netherlands (TTF),null
2015-02-01,Netherlands (TTF),null
2015-03-01,Netherlands (TTF),null
2015-04-01,Netherlands (TTF),null
2015-05-01,Netherlands (TTF),null
2015-06-01,Netherlands (TTF),null
2015-07-01,Netherlands (TTF),null
2015-08-01,Netherlands (TTF),null
2015-09-01,Netherlands (TTF),null
2015-10-01,Netherlands (TTF),null
2015-11-01,Netherlands (TTF),null
2015-12-01,Netherlands (TTF),null
2016-01-01,Netherlands (TTF),null
2016-02-01,Netherlands (TTF),null
2016-03-01,Netherlands (TTF),null
2016-04-01,Netherlands (TTF),null
2016-05-01,Netherlands (TTF),null
2016-06-01,Netherlands (TTF),null
2016-07-01,Netherlands (TTF),null
2016-08-01,Netherlands (TTF),null
2016-09-01,Netherlands (TTF),null
2016-10-01,Netherlands (TTF),null
2016-11-01,Netherlands (TTF),null
2016-12-01,Netherlands (TTF),null
2017-01-01,Netherlands (TTF),null
2017-02-01,Netherlands (TTF),null
2017-03-01,Netherlands (TTF),null
2017-04-01,Netherlands (TTF),null
2017-05-01,Netherlands (TTF),null
2017-06-01,Netherlands (TTF),null
2017-07-01,Netherlands (TTF),null
2017-08-01,Netherlands (TTF),null
2017-09-01,Netherlands (TTF),null
2017-10-01,Netherlands (TTF),1.61
2017-11-01,Netherlands (TTF),1.73
2017-12-01,Netherlands (TTF),1.81
2018-01-01,Netherlands (TTF),1.64
2018-02-01,Netherlands (TTF),1.63
2018-03-01,Netherlands (TTF),1.63
2018-04-01,Netherlands (TTF),1.68
2018-05-01,Netherlands (TTF),1.89
2018-06-01,Netherlands (TTF),1.91
2018-07-01,Netherlands (TTF),1.97
2018-08-01,Netherlands (TTF),2.14
2018-09-01,Netherlands (TTF),2.50
2018-10-01,Netherlands (TTF),2.30
2018-11-01,Netherlands (TTF),2.19
2018-12-01,Netherlands (TTF),2.15
2019-01-01,Netherlands (TTF),1.92
2019-02-01,Netherlands (TTF),1.58
2019-03-01,Netherlands (TTF),1.34
2019-04-01,Netherlands (TTF),1.29
2019-05-01,Netherlands (TTF),1.16
2019-06-01,Netherlands (TTF),0.97
2019-07-01,Netherlands (TTF),0.99
2019-08-01,Netherlands (TTF),1.03
2019-09-01,Netherlands (TTF),1.17
2019-10-01,Netherlands (TTF),1.36
2019-11-01,Netherlands (TTF),1.36
2019-12-01,Netherlands (TTF),1.20
2020-01-01,Netherlands (TTF),0.95
2020-02-01,Netherlands (TTF),0.76
2020-03-01,Netherlands (TTF),0.75
2020-04-01,Netherlands (TTF),0.58
2020-05-01,Netherlands (TTF),0.44
2020-06-01,Netherlands (TTF),0.48
2020-07-01,Netherlands (TTF),0.48
2020-08-01,Netherlands (TTF),0.74
2020-09-01,Netherlands (TTF),1.04
2020-10-01,Netherlands (TTF),1.28
2020-11-01,Netherlands (TTF),1.25
2020-12-01,Netherlands (TTF),1.49
2021-01-01,Netherlands (TTF),1.82
2021-02-01,Netherlands (TTF),1.52
2021-03-01,Netherlands (TTF),1.51
2021-04-01,Netherlands (TTF),1.76
2021-05-01,Netherlands (TTF),2.16
2021-06-01,Netherlands (TTF),2.51
2021-07-01,Netherlands (TTF),3.08
2021-08-01,Netherlands (TTF),3.81
2021-09-01,Netherlands (TTF),5.73
2021-10-01,Netherlands (TTF),7.74
2021-11-01,Netherlands (TTF),7.00
2021-12-01,Netherlands (TTF),9.77
2022-01-01,Netherlands (TTF),7.12
2022-02-01,Netherlands (TTF),6.73
