name,value,value2
Debit card,15812,44.15
Cash,6075,16.96
Direct debit,4507,12.59
Remote banking,2952,8.24
Credit card,2827,7.89
BACS direct credit,1945,5.43
Other,1289,3.6
Cheque,185,0.52
