date,series,value
2019-12-01,ONS data,100.00
2020-01-01,ONS data,100.30
2020-02-01,ONS data,99.80
2020-03-01,ONS data,92.73
2020-04-01,ONS data,73.41
2020-05-01,ONS data,75.70
2020-06-01,ONS data,82.47
2020-07-01,ONS data,88.55
2020-08-01,ONS data,90.44
2020-09-01,ONS data,91.43
2020-10-01,ONS data,91.93
2020-11-01,ONS data,90.34
2020-12-01,ONS data,91.93
2021-01-01,ONS data,89.24
2021-02-01,ONS data,89.84
2021-03-01,ONS data,91.83
2021-04-01,ONS data,94.72
2021-05-01,ONS data,95.92
2021-06-01,ONS data,96.91
2021-07-01,ONS data,96.81
2021-08-01,ONS data,97.61
2021-09-01,ONS data,98.21
2021-10-01,ONS data,98.31
2021-11-01,ONS data,99.30
2021-12-01,ONS data,99.40
2022-01-01,ONS data,99.60
2022-02-01,ONS data,99.50
2022-03-01,ONS data,99.60
2022-04-01,ONS data,99.60
2022-05-01,ONS data,100.30
2022-06-01,ONS data,99.40
2022-07-01,ONS data,99.80
2022-08-01,ONS data,99.80
2022-09-01,ONS data,99.20
2022-10-01,ONS data,99.70
2022-11-01,ONS data,99.90
2022-12-01,ONS data,99.30
2023-01-01,ONS data,99.60
2023-02-01,ONS data,null
2023-03-01,ONS data,null
2019-12-01,NIESR forecast,null
2020-01-01,NIESR forecast,null
2020-02-01,NIESR forecast,null
2020-03-01,NIESR forecast,null
2020-04-01,NIESR forecast,null
2020-05-01,NIESR forecast,null
2020-06-01,NIESR forecast,null
2020-07-01,NIESR forecast,null
2020-08-01,NIESR forecast,null
2020-09-01,NIESR forecast,null
2020-10-01,NIESR forecast,null
2020-11-01,NIESR forecast,null
2020-12-01,NIESR forecast,null
2021-01-01,NIESR forecast,null
2021-02-01,NIESR forecast,null
2021-03-01,NIESR forecast,null
2021-04-01,NIESR forecast,null
2021-05-01,NIESR forecast,null
2021-06-01,NIESR forecast,null
2021-07-01,NIESR forecast,null
2021-08-01,NIESR forecast,null
2021-09-01,NIESR forecast,null
2021-10-01,NIESR forecast,null
2021-11-01,NIESR forecast,null
2021-12-01,NIESR forecast,null
2022-01-01,NIESR forecast,null
2022-02-01,NIESR forecast,null
2022-03-01,NIESR forecast,null
2022-04-01,NIESR forecast,null
2022-05-01,NIESR forecast,null
2022-06-01,NIESR forecast,null
2022-07-01,NIESR forecast,null
2022-08-01,NIESR forecast,null
2022-09-01,NIESR forecast,null
2022-10-01,NIESR forecast,null
2022-11-01,NIESR forecast,null
2022-12-01,NIESR forecast,null
2023-01-01,NIESR forecast,99.60
2023-02-01,NIESR forecast,99.55
2023-03-01,NIESR forecast,99.60
