Date,Value,Detail 
2016-02-22,0,Relative performance (%) of MSCI European firms with share repurchases
2016-02-23,0.5,
2016-02-24,0.6,
2016-02-25,0.5,
2016-02-26,0.3,
2016-02-29,0.3,
2016-03-01,0.2,
2016-03-02,-0.4,
2016-03-03,-0.4,
2016-03-04,0,
2016-03-07,0.1,
2016-03-08,-0.1,
2016-03-09,0.3,
2016-03-10,0.4,
2016-03-11,-0.1,
2016-03-14,-0.2,
2016-03-15,0,
2016-03-16,0.2,
2016-03-17,0.4,
2016-03-18,-0.2,
2016-03-21,-0.3,
2016-03-22,-0.3,
2016-03-23,0,
2016-03-24,0.4,
2016-03-25,0.4,
2016-03-28,0.5,
2016-03-29,0.3,
2016-03-30,0.3,
2016-03-31,0.3,
2016-04-01,0.6,
2016-04-04,0.9,
2016-04-05,1.5,
2016-04-06,1.3,
2016-04-07,1.7,
2016-04-08,1.5,
2016-04-11,1.5,
2016-04-12,1.4,
2016-04-13,0.7,
2016-04-14,0.5,
2016-04-15,0.6,
2016-04-18,0.8,
2016-04-19,0.7,
2016-04-20,0.1,
2016-04-21,-0.3,
2016-04-22,-0.2,
2016-04-25,-0.1,
2016-04-26,-0.3,
2016-04-27,-0.2,
2016-04-28,-0.1,
2016-04-29,-0.2,
2016-05-02,-0.2,
2016-05-03,0,
2016-05-04,0.3,
2016-05-05,0.5,
2016-05-06,0.7,
2016-05-09,0.5,
2016-05-10,-0.1,
2016-05-11,-0.2,
2016-05-12,-0.1,
2016-05-13,0.1,
2016-05-16,0.2,
2016-05-17,0.2,
2016-05-18,0,
2016-05-19,0,
2016-05-20,-0.1,
2016-05-23,0,
2016-05-24,-0.1,
2016-05-25,-0.3,
2016-05-26,-0.4,
2016-05-27,-0.3,
2016-05-30,-0.4,
2016-05-31,-0.1,
2016-06-01,0.2,
2016-06-02,0,
2016-06-03,-0.2,
2016-06-06,-0.2,
2016-06-07,-0.4,
2016-06-08,-0.6,
2016-06-09,-0.3,
2016-06-10,-0.5,
2016-06-13,-0.4,
2016-06-14,-0.6,
2016-06-15,-0.6,
2016-06-16,-0.7,
2016-06-17,-0.9,
2016-06-20,-1.4,
2016-06-21,-1.4,
2016-06-22,-1.6,
2016-06-23,-1.7,
2016-06-24,-1.3,
2016-06-27,-0.2,
2016-06-28,-0.4,
2016-06-29,-0.4,
2016-06-30,-0.6,
2016-07-01,-0.5,
2016-07-04,-0.4,
2016-07-05,-0.5,
2016-07-06,-0.3,
2016-07-07,-0.2,
2016-07-08,-0.4,
2016-07-11,-0.4,
2016-07-12,-0.5,
2016-07-13,-0.3,
2016-07-14,-0.6,
2016-07-15,-0.7,
2016-07-18,-0.4,
2016-07-19,-0.5,
2016-07-20,-0.3,
2016-07-21,-0.3,
2016-07-22,-0.3,
2016-07-25,-0.4,
2016-07-26,-0.2,
2016-07-27,-0.2,
2016-07-28,-0.1,
2016-07-29,-0.3,
2016-08-01,-0.1,
2016-08-02,-0.3,
2016-08-03,-0.6,
2016-08-04,-0.5,
2016-08-05,-0.9,
2016-08-08,-1.1,
2016-08-09,-0.9,
2016-08-10,-1.1,
2016-08-11,-0.9,
2016-08-12,-0.9,
2016-08-15,-0.9,
2016-08-16,-1,
2016-08-17,-1.2,
2016-08-18,-1,
2016-08-19,-0.8,
2016-08-22,-0.7,
2016-08-23,-0.9,
2016-08-24,-0.9,
2016-08-25,-0.9,
2016-08-26,-0.9,
2016-08-29,-0.9,
2016-08-30,-0.9,
2016-08-31,-0.8,
2016-09-01,-0.8,
2016-09-02,-1.1,
2016-09-05,-1,
2016-09-06,-1,
2016-09-07,-0.9,
2016-09-08,-0.8,
2016-09-09,-0.9,
2016-09-12,-0.9,
2016-09-13,-0.7,
2016-09-14,-0.5,
2016-09-15,-0.6,
2016-09-16,-0.5,
2016-09-19,-0.5,
2016-09-20,-0.5,
2016-09-21,-0.7,
2016-09-22,-1,
2016-09-23,-1.1,
2016-09-26,-0.9,
2016-09-27,-1.1,
2016-09-28,-1,
2016-09-29,-1.4,
2016-09-30,-1.6,
2016-10-03,-1.7,
2016-10-04,-1.8,
2016-10-05,-1.7,
2016-10-06,-1.7,
2016-10-07,-2,
2016-10-10,-2.1,
2016-10-11,-1.9,
2016-10-12,-1.6,
2016-10-13,-1.5,
2016-10-14,-1.4,
2016-10-17,-1.1,
2016-10-18,-1,
2016-10-19,-0.8,
2016-10-20,-0.8,
2016-10-21,-0.4,
2016-10-24,-0.2,
2016-10-25,-0.5,
2016-10-26,-0.3,
2016-10-27,-0.2,
2016-10-28,-0.4,
2016-10-31,0,
2016-11-01,-0.2,
2016-11-02,-0.1,
2016-11-03,-0.3,
2016-11-04,-0.4,
2016-11-07,-0.5,
2016-11-08,-0.8,
2016-11-09,-1.2,
2016-11-10,-1.3,
2016-11-11,-1.4,
2016-11-14,-1.3,
2016-11-15,-1.5,
2016-11-16,-1.3,
2016-11-17,-1.3,
2016-11-18,-1.6,
2016-11-21,-1.7,
2016-11-22,-2,
2016-11-23,-2,
2016-11-24,-2,
2016-11-25,-1.9,
2016-11-28,-1.6,
2016-11-29,-1.5,
2016-11-30,-2,
2016-12-01,-2.3,
2016-12-02,-2.2,
2016-12-05,-2.1,
2016-12-06,-2.2,
2016-12-07,-2.6,
2016-12-08,-2.4,
2016-12-09,-2.2,
2016-12-12,-2,
2016-12-13,-2,
2016-12-14,-1.9,
2016-12-15,-1.8,
2016-12-16,-1.9,
2016-12-19,-1.7,
2016-12-20,-1.7,
2016-12-21,-1.6,
2016-12-22,-1.4,
2016-12-23,-1.3,
2016-12-26,-1.3,
2016-12-27,-1.3,
2016-12-28,-1.4,
2016-12-29,-1.1,
2016-12-30,-1.1,
2017-01-02,-1,
2017-01-03,-1.6,
2017-01-04,-2,
2017-01-05,-2.1,
2017-01-06,-2,
2017-01-09,-1.7,
2017-01-10,-1.6,
2017-01-11,-1.8,
2017-01-12,-1.7,
2017-01-13,-1.6,
2017-01-16,-1.4,
2017-01-17,-1.6,
2017-01-18,-1.6,
2017-01-19,-1.4,
2017-01-20,-1.6,
2017-01-23,-1.6,
2017-01-24,-1.6,
2017-01-25,-1.7,
2017-01-26,-1.8,
2017-01-27,-1.5,
2017-01-30,-1.4,
2017-01-31,-1.2,
2017-02-01,-1.1,
2017-02-02,-1.1,
2017-02-03,-1.3,
2017-02-06,-1.4,
2017-02-07,-1.6,
2017-02-08,-1.5,
2017-02-09,-1.3,
2017-02-10,-1.2,
2017-02-13,-1.1,
2017-02-14,-1.2,
2017-02-15,-1.3,
2017-02-16,-1.2,
2017-02-17,-1.4,
2017-02-20,-1.4,
2017-02-21,-1.3,
2017-02-22,-1.5,
2017-02-23,-1.4,
2017-02-24,-1.3,
2017-02-27,-1.2,
2017-02-28,-1,
2017-03-01,-0.8,
2017-03-02,-1.2,
2017-03-03,-1.2,
2017-03-06,-1.1,
2017-03-07,-1.2,
2017-03-08,-1.2,
2017-03-09,-1.1,
2017-03-10,-1.1,
2017-03-13,-1.2,
2017-03-14,-1.1,
2017-03-15,-1.2,
2017-03-16,-1.2,
2017-03-17,-1.1,
2017-03-20,-1,
2017-03-21,-1.3,
2017-03-22,-1.2,
2017-03-23,-1.1,
2017-03-24,-1.1,
2017-03-27,-0.9,
2017-03-28,-0.9,
2017-03-29,-1.1,
2017-03-30,-1,
2017-03-31,-0.8,
2017-04-03,-0.9,
2017-04-04,-0.8,
2017-04-05,-0.9,
2017-04-06,-0.8,
2017-04-07,-0.9,
2017-04-10,-1.1,
2017-04-11,-1,
2017-04-12,-1.1,
2017-04-13,-1,
2017-04-14,-1,
2017-04-17,-1,
2017-04-18,-1.3,
2017-04-19,-1.3,
2017-04-20,-0.9,
2017-04-21,-1.2,
2017-04-24,-0.8,
2017-04-25,-0.8,
2017-04-26,-0.8,
2017-04-27,-0.9,
2017-04-28,-0.7,
2017-05-01,-0.7,
2017-05-02,-0.7,
2017-05-03,-0.6,
2017-05-04,-0.5,
2017-05-05,-0.4,
