date,source,value
2011-01-01,Gas,55.98
2011-02-01,Gas,53.74
2011-03-01,Gas,60.39
2011-04-01,Gas,57.23
2011-05-01,Gas,57.01
2011-06-01,Gas,58.25
2011-07-01,Gas,55.09
2011-08-01,Gas,54.06
2011-09-01,Gas,53.64
2011-10-01,Gas,56.05
2011-11-01,Gas,58.15
2011-12-01,Gas,56.04
2012-01-01,Gas,54.43
2012-02-01,Gas,65.41
2012-03-01,Gas,58.44
2012-04-01,Gas,59.94
2012-05-01,Gas,57.01
2012-06-01,Gas,55.15
2012-07-01,Gas,55.60
2012-08-01,Gas,54.53
2012-09-01,Gas,60.45
2012-10-01,Gas,64.35
2012-11-01,Gas,65.63
2012-12-01,Gas,65.50
2013-01-01,Gas,66.83
2013-02-01,Gas,68.88
2013-03-01,Gas,86.57
2013-04-01,Gas,69.98
2013-05-01,Gas,66.14
2013-06-01,Gas,60.47
2013-07-01,Gas,65.23
2013-08-01,Gas,64.65
2013-09-01,Gas,65.71
2013-10-01,Gas,65.08
2013-11-01,Gas,68.29
2013-12-01,Gas,69.35
2014-01-01,Gas,65.10
2014-02-01,Gas,58.86
2014-03-01,Gas,56.53
2014-04-01,Gas,49.89
2014-05-01,Gas,45.33
2014-06-01,Gas,39.50
2014-07-01,Gas,37.51
2014-08-01,Gas,40.61
2014-09-01,Gas,48.43
2014-10-01,Gas,50.42
2014-11-01,Gas,54.84
2014-12-01,Gas,53.62
2015-01-01,Gas,46.10
2015-02-01,Gas,50.47
2015-03-01,Gas,47.23
2015-04-01,Gas,46.86
2015-05-01,Gas,44.09
2015-06-01,Gas,43.37
2015-07-01,Gas,43.47
2015-08-01,Gas,39.69
2015-09-01,Gas,41.04
2015-10-01,Gas,39.56
2015-11-01,Gas,35.90
2015-12-01,Gas,34.03
2016-01-01,Gas,32.05
2016-02-01,Gas,29.66
2016-03-01,Gas,29.60
2016-04-01,Gas,29.44
2016-05-01,Gas,30.41
2016-06-01,Gas,34.20
2016-07-01,Gas,34.30
2016-08-01,Gas,30.36
2016-09-01,Gas,28.36
2016-10-01,Gas,42.83
2016-11-01,Gas,48.12
2016-12-01,Gas,46.53
2017-01-01,Gas,53.39
2017-02-01,Gas,51.01
2017-03-01,Gas,41.02
2017-04-01,Gas,39.73
2017-05-01,Gas,39.29
2017-06-01,Gas,34.84
2017-07-01,Gas,36.21
2017-08-01,Gas,42.57
2017-09-01,Gas,46.00
2017-10-01,Gas,45.40
2017-11-01,Gas,52.95
2017-12-01,Gas,58.29
2018-01-01,Gas,50.44
2018-02-01,Gas,58.96
2018-03-01,Gas,64.30
2018-04-01,Gas,50.94
2018-05-01,Gas,55.58
2018-06-01,Gas,54.97
2018-07-01,Gas,57.93
2018-08-01,Gas,62.83
2018-09-01,Gas,73.72
2018-10-01,Gas,66.53
2018-11-01,Gas,64.37
2018-12-01,Gas,63.74
2019-01-01,Gas,57.71
2019-02-01,Gas,47.09
2019-03-01,Gas,39.31
2019-04-01,Gas,34.98
2019-05-01,Gas,31.43
2019-06-01,Gas,27.96
2019-07-01,Gas,29.60
2019-08-01,Gas,27.75
2019-09-01,Gas,24.87
2019-10-01,Gas,25.65
2019-11-01,Gas,38.04
2019-12-01,Gas,32.14
2020-01-01,Gas,27.90
2020-02-01,Gas,23.50
2020-03-01,Gas,22.92
2020-04-01,Gas,13.75
2020-05-01,Gas,11.59
2020-06-01,Gas,13.18
2020-07-01,Gas,13.24
2020-08-01,Gas,20.22
2020-09-01,Gas,29.90
2020-10-01,Gas,38.23
2020-11-01,Gas,37.57
2020-12-01,Gas,45.69
2021-01-01,Gas,59.01
2021-02-01,Gas,45.94
2021-03-01,Gas,44.96
2021-04-01,Gas,54.77
2021-05-01,Gas,65.20
2021-06-01,Gas,72.01
2021-07-01,Gas,90.88
2021-08-01,Gas,110.04
2021-09-01,Gas,162.10
2021-10-01,Gas,213.76
2021-11-01,Gas,201.09
2021-12-01,Gas,270.96
2022-01-01,Gas,203.75
2022-02-01,Gas,187.77
